NEW_EVENT_TAG,BRISVEGAS OPEN 2019,27-04-2019,5
Andrew Wright,-,5/0/0
Jemma Shepherd,-,4/1/0
Gary Den Otter,-,4/0/1
Blake Kerwick,-,4/0/1
Wes Graham,-,4/0/1
Dan Corkran,-,4/0/1
Luke McFadden,-,4/0/1
Daniel Batchelor,-,4/0/1
James Lynch,-,4/1/0
Luke Gooley,-,4/0/1
Jack Solomons,-,4/0/1
Trent Denison,-,4/0/1
Nick Cambridge,-,4/0/1
Davey Keegan,-,4/0/1
Michelle Naylor,-,4/0/1
Tim McDivitt,-,3/0/2
Stephen Turner,-,3/1/1
Jared Burnett,-,3/0/2
Carwyn Llewelyn,-,3/1/1
Gary Housechildt,-,3/0/2
Matt Gammie,-,3/0/2
Hayden Walker,-,3/2/0
Ryan Shanks,-,3/0/2
Alan James,-,3/1/1
Simon Hall,-,3/0/2
Chris Stratford,-,3/0/2
Steven Baglin,-,3/0/2
Brodie Mortimer,-,3/0/2
Andrew Oldfield,-,3/0/2
David Lancaster,-,3/0/2
Gabe Hanna,-,3/0/2
Samuel Garlejo,-,3/0/2
Jesse Gough,-,3/0/2
Keaghan Watson,-,3/1/1
Michael Creighton,-,3/0/2
Luke Taylor,-,3/0/2
Cal Scotland,-,3/1/1
Dion Muirden,-,3/0/2
Adam Huey,-,3/0/2
Geordie Flett,-,3/0/2
Jenna Grinsey,-,3/0/2
Tim Davis,-,2/1/2
Zack Watson,-,2/1/2
Sean Fahey,-,2/1/2
Scott Kutzer,-,2/1/2
Patrick Carter,-,2/0/3
Elizabeth Lockhart,-,2/1/2
Sam Linde,-,2/1/2
Terry Trudget,-,2/0/3
Connor Bellert,-,2/0/3
Jasmine Hill,-,2/0/3
Josh Maher,-,2/0/3
James Murray,-,2/1/2
William Ferguson,-,2/0/3
Connor Armstrong,-,2/0/3
Zachary Sindelar,-,2/1/2
Ryan Kruger,-,2/0/3
William Bromley,-,2/0/3
Trevor O'Hanlon,-,2/0/3
Brady Abberton,-,2/0/3
Khyl Heffernan,-,2/0/4
Matt Murdoch,-,2/0/3
James Shirlaw,-,2/0/3
Shaun Chen,-,2/1/2
Mike Bakker,-,2/0/2
Cameron Taylor,-,1/1/3
Akeem Wallace,-,1/1/3
Zac Lehr,-,1/1/3
Janice Fletcher,-,1/2/2
Jessica Thompson,-,1/2/2
Cameron Richens,-,1/1/3
Jarrod Hamilton-Maclaren,-,1/1/3
Sean Muller,-,1/0/4
Mark Warhurst,-,1/1/3
Nathan Little,-,1/0/4
Adam Norris,-,1/1/3
Matt Hibble,-,1/0/4
Mathew Dailey,-,1/0/4
Neil Parry,-,1/0/4
James Sharman,-,1/0/4
Nicholas Guthrie,-,1/0/4
Ethan Grindal,-,1/0/4
Evan Dennett,-,1/0/4
Steven Flemming,-,1/0/4
Robert Tagliaro,-,1/0/2
Jeremy O'Kell,-,0/2/3
Darren Free,-,0/1/4
Tyson Probyn,-,0/0/5
Lane Howson,-,0/0/4
Mitch McDuff,-,0/0/4
