NEW_EVENT_TAG,Brizhammer IV,30-08-2019,5
Luke McFadden,Idoneth Deepkin,5/0/0
Corey Papinniemi,Skaven,4/0/1
Dan Corkran,Disciples Of Tzeentch,4/0/1
Hayden Walker,Hosts of Slaanesh,4/0/1
Ryan Hooper,Hosts of Slaanesh,4/0/1
Nick Cambridge,Daughters Of Khaine,4/0/1
Paul Jackson,Maggotkin of Nurgle,3/0/2
Ken Sattler,Flesh Eater Courts,3/0/2
Matt Hibble,Sylvaneth,3/0/2
Sean Horton,Ironjawz,3/0/2
Joshua Maher,Legion of Sacrament,3/0/2
James Sharman,Flesh Eater Courts,3/0/2
Jye Callanan,Grand Host of Nagash,3/0/2
Jemma Shepherd,Flesh Eater Courts,3/0/0
Matt Gammie,Bonesplitterz,2/0/3
Jack Solomons,Stormcast Eternals,2/0/3
Tim Macdivitt,Nighthaunt,2/0/3
Tyler MacDonald,Blades of Khorne,2/0/3
Anthony Magro,Gloomspite Gitz,2/0/3
Matt Davis,Sylvaneth,2/0/3
Chris Willcox,Beasts of Chaos,2/0/3
Elisabeth Lockhart,Skaven,2/0/1
Nick Bentley,Nighthaunt,2/0/1
Connor Armstrong,Dispossessed,1/0/4
Jess Thompson,Seraphon,1/0/4
Brodie Mortimer,Ironjawz,1/0/4
Wes Graham,Kharadron Overlords,1/0/4
Jarrod Hamilton McLaren,Nighthaunt,1/0/4
Deano matthews,Mixed,1/0/2
Davey Keegan,Nighthaunt,1/0/2
David Kerr,Darkling Covens,0/0/5
Cameron McCormack,Blades of Khorne,0/0/3
