NEW_EVENT_TAG,Brizhammer,28-07-2018,5
David Kerr,-,5/0/0
Luke Tyalor,-,4/0/1
Joshua Maher,-,4/0/1
Hayden Walker,-,4/0/1
Paul Jackson,-,4/0/1
Darren Free,-,3/0/2
Denys Laurie,-,3/0/2
Connor Armstrong,-,3/0/2
Jemma Shepherd,-,3/0/2
Davey Keegan,-,3/0/2
Michael Creighton,-,3/0/2
Matt Gammie,-,2/0/3
Tyler M,-,2/0/3
Andrew wright,-,2/0/3
Cameron McCormack,-,2/0/3
James Sharman,-,2/0/3
Ethan Varfis,-,2/0/3
Dean Matthews,-,2/0/0
Clint Mallet,-,2/0/3
Jesse Gough,-,1/0/4
Seam Hortin,-,1/0/4
James Lynch,-,1/0/4
Ty Mills,-,1/0/4
Corey Papinniemi,-,1/0/2
nick bentley,-,0/0/5
