NEW_EVENT_TAG,Descent Of The Faithful,25-01-2020,5
Eric Hoerger,-,4/1/0
Jack Mayland,-,4/0/1
Aaron Walters,-,4/0/1
Daniel Scott,-,4/0/1
Mikey T,-,4/0/1
Jamie White,-,4/0/1
Daniel Biddle,-,3/1/1
NickPilgrim,-,3/0/2
David Allan,-,3/0/2
Michael Wilding,-,3/0/2
Andy Brown,-,3/0/2
Anthony Boulton,-,3/0/2
Anthony Poole,-,3/0/2
Kyle aspinall,-,3/0/2
Steven henderson,-,3/0/2
James Beeden,-,2/1/2
Andy Bryan,-,2/0/3
Gareth Cosby,-,2/0/3
Rhys Bradshaw,-,2/0/3
Jason Hodgkinson,-,2/0/3
Jason Stanyer,-,2/0/3
Gaz Ravenscroft,-,2/0/3
Ceri  Robson,-,2/0/3
Lee Downes,-,3/0/2
Alex Tooth,-,2/0/3
Matt Crowther,-,2/0/3
Tim Unwin,-,1/0/4
Mark Pinnington,-,1/0/4
Peter Thomas-Mcewen,-,1/0/4
Matt Cooke,-,1/0/4
Alex SG Johnson,-,0/1/4
HarryHoldsworth,-,0/0/5
