NEW_EVENT_TAG,Dragon Factory Nytårsturnering,29-12-2019,3
Alexander Hansen,-,3/0/0
Richardt Olsen,-,3/0/0
Casper Karlsmose,-,2/0/1
Christoffer Karlsmose,-,2/0/1
Kasper Skafsgaard,-,2/0/1
Kasper agdal,-,2/0/1
Morten Winkel,-,2/0/1
Dennis nt,-,2/0/1
Mikkel Kjerumgaard,-,1/0/2
Stephen Lüdeking,-,1/0/2
Miguel Nielsen,-,1/0/2
Andreas Darum,-,1/0/2
Morten Brandt Jensen,-,1/0/2
Timm Nyegaard,-,0/0/2
Andy Schou,-,0/0/2
Mikael,-,0/0/3
Alexander Hansen,Dennis nt,Alexander Hansen,Christoffer Karlsmose,Alexander Hansen,Timm Nyegaard
Richardt Olsen,Casper Karlsmose,Richardt Olsen,Stephen Lüdeking,Richardt Olsen,Miguel Nielsen
Richardt Olsen,Casper Karlsmose,Casper Karlsmose,Skaffy,Casper Karlsmose,Morten Winkel
Christoffer Karlsmose,Mikkel Kjerumgaard,Alexander Hansen,Christoffer Karlsmose,Christoffer Karlsmose,Morten Brandt Jensen
Skaffy,Andy Schou,Casper Karlsmose,Skaffy,Skaffy,Kasper agdal
Kasper agdal,Andreas Darum,Kasper agdal,Miguel Nielsen,Skaffy,Kasper agdal
Morten Winkel,Stephen Lüdeking,Morten Winkel,Mikael,Casper Karlsmose,Morten Winkel
Alexander Hansen,Dennis nt,Dennis nt,Mikkel Kjerumgaard,Dennis nt,Andy Schou
Christoffer Karlsmose,Mikkel Kjerumgaard,Dennis nt,Mikkel Kjerumgaard,Mikkel Kjerumgaard,Mikael
Morten Winkel,Stephen Lüdeking,Richardt Olsen,Stephen Lüdeking,Stephen Lüdeking,Andreas Darum
Miguel Nielsen,Mikael,Kasper agdal,Miguel Nielsen,Richardt Olsen,Miguel Nielsen
Kasper agdal,Andreas Darum,Andreas Darum,Morten Brandt Jensen,Stephen Lüdeking,Andreas Darum
Morten Brandt Jensen,Timm Nyegaard,Andreas Darum,Morten Brandt Jensen,Christoffer Karlsmose,Morten Brandt Jensen
Morten Brandt Jensen,Timm Nyegaard,Andy Schou,Timm Nyegaard,Alexander Hansen,Timm Nyegaard
Skaffy,Andy Schou,Andy Schou,Timm Nyegaard,Dennis nt,Andy Schou
Miguel Nielsen,Mikael,Morten Winkel,Mikael,Mikkel Kjerumgaard,Mikael
