NEW_EVENT_TAG,EGGS 2020,29-02-2020,5
Ben Curry,-,5/0/0
Toby Meadows,-,5/0/0
Martin Morrin,-,4/0/1
Byron Orde.,-,4/0/1
James Tinsdale,-,4/0/1
Michael Stewart,-,4/0/1
Tonige BYE,-,4/0/1
Will Rose,-,4/0/1
Darren Phipps-Walker,-,4/0/1
Ritchey Mcalley,-,4/0/1
Tom Lees,-,3/0/2
Chris Banks,-,3/0/2
Vitto Manetti,-,4/0/1
Gabe Huddleston,-,4/0/1
Tom Bell,-,3/0/2
Dan George,-,3/0/2
Jp Stevens,-,3/0/2
Gene Coates,-,3/0/2
Jack Mayland,-,3/0/2
Adam Hall,-,3/0/2
Craig Namvar,-,3/0/2
Thomas Waller,-,3/0/2
Andy Bryan,-,3/0/2
Anthony Poole,-,3/0/2
Ben Johnson,-,3/0/2
Matthew Pardoe,-,3/0/2
Aaron Walters,-,3/0/2
William Morris,-,3/0/2
Alun Haines,-,3/0/2
Matthew Tinsdale,-,3/0/2
Aiden Clieve,-,3/0/2
Freddie Leggett,-,3/0/2
Matt Ellwood,-,2/0/3
Gabriele Sosso,-,3/0/2
James Andrews,-,3/0/2
Daniel Biddle,-,2/0/3
Murray Gaisford,-,2/0/3
Paul Burrow,-,2/0/3
Michael Bennett,-,2/0/3
Michael Wilding,-,2/0/3
Alan Witherden,-,2/0/3
Graham Betteridge,-,2/0/3
Robert Ayres,-,2/0/3
Travis Kelly,-,2/0/3
Matthew Bridmore,-,2/0/3
Chris McConville,-,2/0/3
Jonny Boyd,-,2/0/3
Paul Haley,-,2/0/3
David Crowther,-,2/0/3
Matthew Crode,-,2/0/3
Mark Pinnington,-,2/0/3
Mike Chadderton,-,1/0/4
Angus Brain,-,1/0/4
Matthew Sandiford,-,2/0/1
Andrew Lonsdale,-,1/0/4
Mark Logan,-,1/0/4
Ross mason,-,1/0/4
James Beeden,-,1/0/4
Dom Kuchta,-,1/0/4
Thomas McPherson,-,1/0/4
Jack Krinks,-,1/0/4
Tommy Williams,-,1/0/4
Jack Norris,-,1/0/4
Daniel Ryan,-,0/0/5
Jonathan Bunch,-,0/0/5
Paul Cooper,-,0/0/3
DAY 2 BYE,-,0/0/0
