NEW_EVENT_TAG,EOS 2,28-04-2019,3
Andy Bryan,-,3/0/0
Chris McConville,-,3/0/0
Sam Bolton,-,3/0/0
Adam Rawson,-,3/0/0
Luke Garside,-,2/0/1
Alex Jones,-,2/0/1
Alex Tooth,-,2/0/1
Robert Hull,-,2/0/1
Paul Bowden,-,2/0/1
Chris Vect,-,2/0/1
Sam Watson,-,2/0/1
Simon Thmpson,-,2/0/1
Man God,-,2/0/1
Ben Kronin,-,2/0/1
Chris Banks,-,2/0/1
Matthew Sandiford,-,2/0/1
Adam Riley,-,2/0/1
Aiden Clieve,-,2/0/1
Joe Doherty,-,2/0/1
CY Dudley,-,1/0/2
Adam Aiden,-,1/0/2
Steve Norris,-,1/0/2
DanielPhipps-Walker,-,1/0/2
Aaron Walters,-,1/0/2
Mark Pinnington,-,1/0/2
Jane Slater,-,1/0/2
Andrew Lonsdale,-,1/0/2
Sean Ormrod,-,1/0/2
Edward Folks,-,1/0/2
Richard Chambers,-,1/0/2
Keith Winqvist,-,1/0/2
Tom Bailey,-,0/0/3
Daniel Elkinson,-,0/0/3
Ben Carter,-,0/0/3
Andrew Snow,-,0/0/3
Hugh Wilson,-,0/0/3
