NEW_EVENT_TAG,Foundryhammer - Spring 2020,21-03-2020,5
Jack Tondeur,Gloomspite Gitz,0/0/0
Phil Webster,-,0/0/0
Mark Gibson,Cities of Sigmar,0/0/0
Jack Norris,Seraphon,0/0/0
Gordon McLean,Flesh Eater Courts,0/0/0
Jonny Jacevicius,Ironjawz,0/0/0
Mike Meaden,-,0/0/0
James Harrison,Idoneth Deepkin,0/0/0
John Crewe,Stormcast Eternals,0/0/0
Rich T,Ogor Mawtribes,0/0/0
Connor Doyle,Nighthaunt,0/0/0
Adam Parker,Ironjawz,0/0/0
Michael Roughley,Sylvaneth,0/0/0
Chris Eckersley,-,0/0/0
Steven Brennon,-,0/0/0
Dan Fulton,Stormcast Eternals,0/0/0
Joseph Taylor,Skaven,0/0/0
Ross Wilding,Ossiarch Bonereapers,0/0/0
Ash,-,0/0/0
Geoff Coffin,Fyreslayers,0/0/0
Sam Watson,Ossiarch Bonereapers,0/0/0
Miquel,Stormcast Eternals,0/0/0
