NEW_EVENT_TAG,Gods and Blood 3,29-08-2020,3
Vevertis,Flesh Eater Courts,3/0/0
Winky,Legion of Azgorh,3/0/0
Matt Ammendolia,Grand Host of Nagash,3/0/0
StanislavMouric,Cities of Sigmar,2/0/1
Vojtěch Kopecký,Sylvaneth,2/0/1
Kryštof Mózer,Nighthaunt,2/0/1
Jitrnice,Idoneth Deepkin,2/0/1
Daniel Czyz,Stormcast Eternals,2/0/1
"Lukáš ""EmperorNight"" Wűrzler",Ossiarch Bonereapers,2/0/1
Vit Saffer,Stormcast Eternals,2/0/1
Michal Duchac,Sylvaneth,2/0/1
Stricke,Ogor Mawtribes,1/0/2
Jan Dentri Kubík,Cities of Sigmar,1/0/2
Dreg,Cities of Sigmar,1/0/2
Tomáš Daněk jr.,Legion of Grief,1/0/2
Dominik Kovář,Stormcast Eternals,1/0/2
Tomáš Daněk sr.,Maggotkin of Nurgle,1/0/2
Erik Slimařík,Legion of Grief,1/0/2
Fishbone,Slaves To Darkness,1/0/2
Martin Netopil,Disciples Of Tzeentch,0/0/3
Karel Otevřel,Skaven,0/0/3
Harry White,Seraphon,0/0/3
