NEW_EVENT_TAG,GT POMERANIAN,22-02-2020,5
Piotr Kurkowski,Idoneth Deepkin,5/0/0
Ziemek,Seraphon,4/0/1
Jaggred,Orruks,4/0/1
przelas,Skaven,4/0/1
Łukasz Kocoń,Cities of Sigmar,4/0/1
Jaras F.,Disciples Of Tzeentch,4/0/1
Mateusz Eljasz,Cities of Sigmar,4/0/1
Marcin Młynarczyk,Stormcast Eternals,4/0/1
Lukasz Krokos,Idoneth Deepkin,4/0/1
Jacek Skoczek,Fyreslayers,4/0/1
Laif,Disciples Of Tzeentch,3/0/2
Paweł Kubiak „ zeznicek”,Cities of Sigmar,3/0/2
Mateusz Włudarczyk,Blades of Khorne,3/0/2
Mateusz Kołakowski,Ossiarch Bonereapers,3/0/2
Arkadiusz Moria,Cities of Sigmar,3/0/2
Piotr Romaniuk,Flesh Eater Courts,3/0/2
Marek Mum,Blades of Khorne,3/0/2
Jesion,Gloomspite Gitz,3/0/2
Szymon Rychert,Ossiarch Bonereapers,3/0/2
Tomasz Malinowski,Legion of Sacrament,3/0/2
Michał Taraska,Skaven,3/0/2
Piotr Roszkowski,Cities of Sigmar,2/0/3
"Zbyszek""Quetesh""Piesik",Orruks,2/0/3
Krzysztof Dębiński,Ossiarch Bonereapers,3/0/2
Bielik,Orruks,3/0/2
Michał Pe,Blades of Khorne,2/0/3
Krzysztof Pe,Nighthaunt,2/0/3
Bartek Tamtus Orlof,Skaven,2/0/3
Michał Cortez Nadolski,Sylvaneth,2/0/3
Bartosz Kotłowski,Fyreslayers,2/0/3
Mariusz Winnicki,Ironjawz,2/0/3
Artur Łomnicki,Flesh Eater Courts,2/0/3
Numerati,Ironjawz,2/0/3
Dariusz Beo Beomenas,Seraphon,2/0/3
Michał Piotr Szara,Skaven,2/0/3
Jakub Dubrowski,Fyreslayers,2/0/3
"Grzegorz ""Wolan"" Zagraba*",Flesh Eater Courts,1/0/4
Bartek Aleksandrowicz,Stormcast Eternals,2/0/3
Krzysztof Słoń,Sylvaneth,1/0/4
Krzysztof Kawczynski,Sylvaneth,1/0/4
Adrian Zur,Flesh Eater Courts,1/0/4
Damian Kozaczuk,Ironjawz,1/0/4
"Paweł ""Żubr"" Żybura",Cities of Sigmar,1/0/4
Karol Malinowski,Beasts of Chaos,1/0/4
Tomasz Sawicki,Bonesplitterz,1/0/4
Patryk Sobisz,Slaves To Darkness,0/0/5
Nikodem Bradtke,Skaven,0/0/5
