NEW_EVENT_TAG,Hammer of the North,02-02-2019,3
Liam Watt,-,3/0/0
Leigh Martin,-,3/0/0
Craig Graham,-,3/0/0
Mike Callaghan,-,2/0/1
Johnny Forde,-,2/0/1
David Nemeth (Loke),-,2/0/1
Adam Martin,-,2/0/1
Nathan Watson,-,2/0/1
Mark Roberts,-,2/0/1
Stu West,-,2/0/1
MATTR,-,2/0/1
John Connelly,-,2/0/1
Grantmudie,-,2/0/1
Kevin Low,-,1/0/2
Kat Fekete,-,1/0/2
Phil McGuinness,-,1/0/2
Scott Smith,-,1/0/2
Paul Di Duca,-,1/0/2
Kraggy,-,1/0/2
Jack Carruthers,-,1/0/2
David Jack,-,1/0/2
Iain Hunter,-,2/0/1
Callum Sinclair,-,0/0/3
Shane Kingston,-,0/0/3
Stephen Ramage,-,0/0/3
Graeme Davidson,-,0/0/3
