NEW_EVENT_TAG,Justice Series Autumn GT,19-10-2019,5
Jp Stevens,Hosts of Slaanesh,5/0/0
Neil Montgomery,Hosts of Slaanesh,4/0/1
Eric Hoerger,Ironjawz,4/0/1
Colin Cochrane,Fyreslayers,4/0/1
Ian Spink,Bonesplitterz,4/0/1
Matt Robertson,Disciples Of Tzeentch,4/0/1
Michael Wilding,Hosts of Slaanesh,3/1/1
Ben Baugh,Stormcast Eternals,3/0/2
Gabe Huddlestone,Ironjawz,3/0/2
Aidan Clieve,Ironjawz,3/0/2
Andy Brown,Nighthaunt,3/0/2
Thomas Waller,Flesh Eater Courts,3/0/2
Stephen Mitchell,Flesh Eater Courts,3/0/2
Tony Moore,Grand Host of Nagash,3/0/2
Will Spencer,Flesh Eater Courts,3/0/2
Jack westaway,Beasts of Chaos,3/0/2
Michael Bennett,Blades of Khorne,3/0/2
Travis Kelly,Fyreslayers,3/0/2
"Gary ""Subidai"" Bullha",Maggotkin of Nurgle,2/1/2
Chris archibald,Idoneth Deepkin,2/0/3
Chris Carroll,Skaven,2/0/3
Tom Lees,Gloomspite Gitz,2/0/3
Luke Power,Sylvaneth,2/0/3
David Thompson,Sylvaneth,2/0/3
Matt McDonnell,Legion of Sacrament,2/0/3
Chris Nellis,Fyreslayers,2/0/3
Sam Watson,Grand Host of Nagash,2/0/3
Dylan usher,Hosts of Slaanesh,2/0/3
Vitto Manetti,Idoneth Deepkin,1/0/4
Rhys Hallett,Nighthaunt,1/0/4
Luke Evans,Legion of Sacrament,1/0/4
Jack Maiden,Gloomspite Gitz,1/0/4
Stuart Millar,Ironjawz,1/0/4
Andy Lampkin,Gloomspite Gitz,1/0/2
Raja Brothwood,Tempest Eye,1/0/4
Will Hopwood,-,0/1/1
Andy Campbell,Skaven,0/1/4
