NEW_EVENT_TAG,Justice Series VI,11-02-2018,5
Jack westaway,UNKNOWN_ARMY,0/0/0
Tony Moore,UNKNOWN_ARMY,0/0/0
Ritchie Mcalley,UNKNOWN_ARMY,0/0/0
Nigel Chorlton ,UNKNOWN_ARMY,0/0/0
Raja Brothwood,UNKNOWN_ARMY,0/0/0
Alex cockburn,UNKNOWN_ARMY,0/0/0
James Tinsdale,UNKNOWN_ARMY,0/0/0
Ric Ellis,UNKNOWN_ARMY,0/0/0
Craig Carlton,UNKNOWN_ARMY,0/0/0
Jack Maiden,UNKNOWN_ARMY,0/0/0
Nathan Foster,UNKNOWN_ARMY,0/0/0
Tom Lees,UNKNOWN_ARMY,0/0/0
Sam Watson,UNKNOWN_ARMY,0/0/0
Stephen Prescott ,UNKNOWN_ARMY,0/0/0
Tom Fildes,UNKNOWN_ARMY,0/0/0
Ronnie Dodd,UNKNOWN_ARMY,0/0/0
Jack westaway,Ritchie Mcalley,Jack westaway,Alex cockburn,Jack westaway,Ronnie Dodd
Tony Moore,Raja Brothwood,Tony Moore,Ric Ellis,Tony Moore,Craig Carlton
Jack westaway,Ritchie Mcalley,Ritchie Mcalley,Nigel Chorlton,Ritchie Mcalley,Nathan Foster
Nigel Chorlton,Nathan Foster,Ritchie Mcalley,Nigel Chorlton,Nigel Chorlton,Tom Lees
Tony Moore,Raja Brothwood,Raja Brothwood,Jack Maiden,Raja Brothwood,Stephen Prescott
Alex cockburn,Tom Lees,Jack westaway,Alex cockburn,Alex cockburn,Sam Watson
James Tinsdale,Craig Carlton,James Tinsdale,Ronnie Dodd,Ric Ellis,James Tinsdale
Ric Ellis,Jack Maiden,Tony Moore,Ric Ellis,Ric Ellis,James Tinsdale
James Tinsdale,Craig Carlton,Craig Carlton,Stephen Prescott,Tony Moore,Craig Carlton
Ric Ellis,Jack Maiden,Raja Brothwood,Jack Maiden,Jack Maiden,Tom Fildes
Nigel Chorlton,Nathan Foster,Nathan Foster,Sam Watson,Ritchie Mcalley,Nathan Foster
Alex cockburn,Tom Lees,Tom Lees,Tom Fildes,Nigel Chorlton,Tom Lees
Sam Watson,Tom Fildes,Nathan Foster,Sam Watson,Alex cockburn,Sam Watson
Stephen Prescott,Ronnie Dodd,Craig Carlton,Stephen Prescott,Raja Brothwood,Stephen Prescott
Sam Watson,Tom Fildes,Tom Lees,Tom Fildes,Jack Maiden,Tom Fildes
Stephen Prescott,Ronnie Dodd,James Tinsdale,Ronnie Dodd,Jack westaway,Ronnie Dodd
