NEW_EVENT_TAG,Justice Series VIII,03-06-2018,5
Alex cockburn,UNKNOWN_ARMY,0/0/0
Gareth Holmes,UNKNOWN_ARMY,0/0/0
Sam Watson,UNKNOWN_ARMY,0/0/0
Matt Robertson,UNKNOWN_ARMY,0/0/0
Leo Kyp,UNKNOWN_ARMY,0/0/0
Stuart Corbett,UNKNOWN_ARMY,0/0/0
James Tinsdale,UNKNOWN_ARMY,0/0/0
Lewis Sloan,UNKNOWN_ARMY,0/0/0
Andy Davies,UNKNOWN_ARMY,0/0/0
Ian Brown ,UNKNOWN_ARMY,0/0/0
Jack Westaway,UNKNOWN_ARMY,0/0/0
Luke Power,UNKNOWN_ARMY,0/0/0
Jack Maiden,UNKNOWN_ARMY,0/0/0
Christian Kewin,UNKNOWN_ARMY,0/0/0
Raja Brothwood,UNKNOWN_ARMY,0/0/0
Steven Davidson,UNKNOWN_ARMY,0/0/0
Alex cockburn,Sam Watson,Alex cockburn,Luke Power,Alex cockburn,James Tinsdale
Gareth Holmes,Leo Kyp,Gareth Holmes,Lewis Sloan,Gareth Holmes,Christian Kewin
Alex cockburn,Sam Watson,Sam Watson,Andy Davies,Sam Watson,Jack Maiden
Matt Robertson,Luke Power,Leo Kyp,Matt Robertson,Matt Robertson,Steven Davidson
Gareth Holmes,Leo Kyp,Leo Kyp,Matt Robertson,Leo Kyp,Jack Westaway
Stuart Corbett,Ian Brown,Stuart Corbett,Jack Maiden,Andy Davies,Stuart Corbett
James Tinsdale,Andy Davies,James Tinsdale,Christian Kewin,Alex cockburn,James Tinsdale
Lewis Sloan,Jack Westaway,Gareth Holmes,Lewis Sloan,Lewis Sloan,Raja Brothwood
James Tinsdale,Andy Davies,Sam Watson,Andy Davies,Andy Davies,Stuart Corbett
Stuart Corbett,Ian Brown,Ian Brown,Raja Brothwood,Luke Power,Ian Brown
Lewis Sloan,Jack Westaway,Jack Westaway,Steven Davidson,Leo Kyp,Jack Westaway
Matt Robertson,Luke Power,Alex cockburn,Luke Power,Luke Power,Ian Brown
Jack Maiden,Steven Davidson,Stuart Corbett,Jack Maiden,Sam Watson,Jack Maiden
Christian Kewin,Raja Brothwood,James Tinsdale,Christian Kewin,Gareth Holmes,Christian Kewin
Christian Kewin,Raja Brothwood,Ian Brown,Raja Brothwood,Lewis Sloan,Raja Brothwood
Jack Maiden,Steven Davidson,Jack Westaway,Steven Davidson,Matt Robertson,Steven Davidson
