NEW_EVENT_TAG,Král Vysočiny,23-08-2020,5
"Ivo ""gnorel"" Bednář",Cities of Sigmar,5/0/0
Adam Pejzub Slovak,Gloomspite Gitz,4/0/1
Jakub ´JAKOBY´ Kundrát,Big Waaagh!,4/0/1
David Nquyen,Kharadron Overlords,4/0/1
Tomáš Bagr Pospíšil,Big Waaagh!,3/0/2
Jan stromeček23 Tomeček,Disciples Of Tzeentch,3/0/2
Martin Drvostep,Seraphon,3/0/2
"Lukáš ""EmperorNight"" Wűrzler",Ossiarch Bonereapers,3/0/2
Marek  Kradaxus Shatat,Flesh Eater Courts,3/0/2
Zbyněk Erebi Šibal,Ogor Mawtribes,2/0/3
Tomáš Panvesmíru Rut,Slaves To Darkness,2/0/3
Jan Janů,Disciples Of Tzeentch,2/0/3
Bohuslav ''Bobo'' Živný,Slaves To Darkness,2/0/3
Vojtěch ˇJitrnice´Bednář,Idoneth Deepkin,2/0/3
Tibor Trpaslík Bednář,Kharadron Overlords,2/0/3
Matěj 12317 Vlk,Blades of Khorne,2/0/3
Jindřich Pešek,Skaven,2/0/3
Adam Tomeček,Skaven,1/0/4
Bohdan Tomeček,Stormcast Eternals,1/0/4
Petr ˇVakalionˇ Váka,Fyreslayers,0/0/5
Ivo "gnorel" Bednář,Martin Drvostep,Ivo "gnorel" Bednář,Adam Pejzub Slovak,Ivo "gnorel" Bednář,Jakub ´JAKOBY´ Kundrát,Ivo "gnorel" Bednář,Adam Tomeček,Ivo "gnorel" Bednář,Bohdan Tomeček
Adam Pejzub Slovak,Tomáš Bagr Pospíšil,Ivo "gnorel" Bednář,Adam Pejzub Slovak,Adam Pejzub Slovak,David Nquyen,Adam Pejzub Slovak,Jan stromeček23 Tomeček,Adam Pejzub Slovak,Bohuslav Bobo Živný
Jakub ´JAKOBY´ Kundrát,Jan stromeček23 Tomeček,Jakub ´JAKOBY´ Kundrát,Tomáš Panvesmíru Rut,Ivo "gnorel" Bednář,Jakub ´JAKOBY´ Kundrát,Jakub ´JAKOBY´ Kundrát,Jan Janů,Jakub ´JAKOBY´ Kundrát,Marek  Kradaxus Shatat
David Nquyen,Zbyněk Erebi Šibal,David Nquyen,Tomáš Bagr Pospíšil,Adam Pejzub Slovak,David Nquyen,David Nquyen,Jindřich Pešek,David Nquyen,Lukáš
Adam Pejzub Slovak,Tomáš Bagr Pospíšil,David Nquyen,Tomáš Bagr Pospíšil,Tomáš Bagr Pospíšil,Jan Janů,Tomáš Bagr Pospíšil,Tibor Trpaslík Bednář,Tomáš Bagr Pospíšil,Zbyněk Erebi Šibal
Jakub ´JAKOBY´ Kundrát,Jan stromeček23 Tomeček,Jan stromeček23 Tomeček,Bohuslav Bobo Živný,Jan stromeček23 Tomeček,Jindřich Pešek,Adam Pejzub Slovak,Jan stromeček23 Tomeček,Jan stromeček23 Tomeček,Vojtěch ˇJitrnice
Ivo "gnorel" Bednář,Martin Drvostep,Martin Drvostep,Zbyněk Erebi Šibal,Martin Drvostep,Adam Tomeček,Martin Drvostep,Lukáš "EmperorNight" Wűrzler,Jindřich Pešek,Martin Drvostep
Lukáš "EmperorNight" Wűrzler,Tibor Trpaslík Bednář,Lukáš "EmperorNight" Wűrzler,Jindřich Pešek,Lukáš "EmperorNight" Wűrzler,Matěj 12317 Vlk,Martin Drvostep,Lukáš "EmperorNight" Wűrzler,David Nquyen,Lukáš
Marek  Kradaxus Shatat,Vojtěch ˇJitrnice´Bednář,Marek  Kradaxus Shatat,Jan Janů,Tomáš Panvesmíru Rut,Marek  Kradaxus Shatat,Marek  Kradaxus Shatat,Matěj 12317 Vlk,Jakub ´JAKOBY´ Kundrát,Marek  Kradaxus Shatat
David Nquyen,Zbyněk Erebi Šibal,Martin Drvostep,Zbyněk Erebi Šibal,Zbyněk Erebi Šibal,Tibor Trpaslík Bednář,Zbyněk Erebi Šibal,Tomáš Panvesmíru Rut,Tomáš Bagr Pospíšil,Zbyněk Erebi Šibal
Tomáš Panvesmíru Rut,Bohuslav Bobo Živný,Jakub ´JAKOBY´ Kundrát,Tomáš Panvesmíru Rut,Tomáš Panvesmíru Rut,Marek  Kradaxus Shatat,Zbyněk Erebi Šibal,Tomáš Panvesmíru Rut,Adam Tomeček,Tomáš Panvesmíru Rut
Jan Janů,Petr ˇVakalionˇ Váka,Marek  Kradaxus Shatat,Jan Janů,Tomáš Bagr Pospíšil,Jan Janů,Jakub ´JAKOBY´ Kundrát,Jan Janů,Jan Janů,Matěj 12317 Vlk
Tomáš Panvesmíru Rut,Bohuslav Bobo Živný,Jan stromeček23 Tomeček,Bohuslav Bobo Živný,Bohuslav Bobo Živný,Vojtěch ˇJitrnice´Bednář,Bohuslav Bobo Živný,Petr ˇVakalionˇ Váka,Adam Pejzub Slovak,Bohuslav Bobo Živný
Marek  Kradaxus Shatat,Vojtěch ˇJitrnice´Bednář,Vojtěch ˇJitrnice´Bednář,Adam Tomeček,Bohuslav Bobo Živný,Vojtěch ˇJitrnice´Bednář,Vojtěch ˇJitrnice´Bednář,Bohdan Tomeček,Jan stromeček23 Tomeček,Vojtěch ˇJitrnice
Lukáš "EmperorNight" Wűrzler,Tibor Trpaslík Bednář,Tibor Trpaslík Bednář,Bohdan Tomeček,Zbyněk Erebi Šibal,Tibor Trpaslík Bednář,Tomáš Bagr Pospíšil,Tibor Trpaslík Bednář,Tibor Trpaslík Bednář,Petr ˇVakalionˇ Váka
Matěj 12317 Vlk,Bohdan Tomeček,Matěj 12317 Vlk,Petr ˇVakalionˇ Váka,Lukáš "EmperorNight" Wűrzler,Matěj 12317 Vlk,Marek  Kradaxus Shatat,Matěj 12317 Vlk,Jan Janů,Matěj 12317 Vlk
Jindřich Pešek,Adam Tomeček,Lukáš "EmperorNight" Wűrzler,Jindřich Pešek,Jan stromeček23 Tomeček,Jindřich Pešek,David Nquyen,Jindřich Pešek,Jindřich Pešek,Martin Drvostep
Jindřich Pešek,Adam Tomeček,Vojtěch ˇJitrnice´Bednář,Adam Tomeček,Martin Drvostep,Adam Tomeček,Ivo "gnorel" Bednář,Adam Tomeček,Adam Tomeček,Tomáš Panvesmíru Rut
