NEW_EVENT_TAG,Liga AoS Szczecin zima-wiosna 2020,17-02-2020,7
Michal Cybulski,-,5/1/1
Mariusz Winnicki,-,5/1/1
Jakub Golec,-,4/2/0
Mateusz Eljasz,-,4/1/1
Kamil Kowalski,-,4/0/2
Marcin Marciniak,-,4/0/3
Knrd Szmnski,-,4/0/2
Rudy WSK,-,4/0/3
Miłosz Słupecki,-,3/1/1
Jer Ham,-,2/3/2
Grzesiek Kowalczuk,-,2/1/4
Michał Taraska,-,2/1/3
Tomasz Nowocień,-,1/4/1
Piotr Nowak,-,1/3/2
Marcin Sobanda,-,1/1/5
Krzysiek Słoń,-,2/1/4
Grzegorz Szulc,-,1/3/2
Seb Bes,-,2/0/4
Krzysztof Dębiński,-,1/2/4
Patryk Komosa,-,1/0/5
Piotr Romaniuk,-,1/1/1
Jędrzej Polaczek,-,0/0/3
