NEW_EVENT_TAG,Lord of the Mounds 2,19-01-2019,5
Arvid snö,Free Peoples,5/0/0
Dennis Palmkvist,Hosts of Slaanesh,4/0/1
Bubba,Blades of Khorne,4/0/1
Andreas Raland,Mixed,3/0/2
Andreas Johansson,Legion Of Azgorh,3/0/2
Lillen Svensson,Idoneth Deepkin,3/0/2
Sebastian Hedberg,Brayherd,3/0/2
Fredrik Andersson,Gutbusters,3/0/2
Aron Törnqvist,Maggotkin of Nurgle,3/0/2
Joakim Sundh,Daughters Of Khaine,3/0/2
Lars stålkäft Lindholm,Ironjawz,2/1/2
Pontus Krontoft,Skaven,2/0/3
Björn Malmborg,Spiderfang Grots,2/0/3
Magnus Nedfors,Maggotkin of Nurgle,2/0/3
Craig Turner,Stormcast Eternals,2/0/3
Alfred Granberg,Sylvaneth,2/0/3
Johan William-Olsson,Nighthaunt,1/1/3
Robert Steneholm,Seraphon,1/0/4
Jesper Andersson,Nighthaunt,1/0/4
Niklas Trångteg Öhman,Nighthaunt,0/0/5
