NEW_EVENT_TAG,Lord of the Mounds 4,29-02-2020,5
Andreas Raland,Disciples Of Tzeentch,5/0/0
Sebastian Hedberg,Slaves To Darkness,4/0/1
Pontus Krontoft,Slaves To Darkness,4/0/1
Aron Törnqvist,Maggotkin of Nurgle,3/0/2
Simon Selberg,Stormcast Eternals,3/0/2
Björn Malmborg,Ogor Mawtribes,3/0/2
Abdullah Al-Hayali (Abbe),Gloomspite Gitz,3/0/2
Linus Sjöström (thankee),Cities of Sigmar,3/0/2
Jesper melander,Legion of Grief,2/0/3
Jakob Oskarsson,Idoneth Deepkin,2/0/3
Alex Öhlund,Slaves To Darkness,2/0/3
Martin Nilsson,Orruks,2/0/3
Tomas Vifell,Blades of Khorne,2/0/3
Niklas jansson,Slaves To Darkness,1/0/4
Lillen Svensson,Idoneth Deepkin,1/0/4
Niklas Trångteg Öhman,Nighthaunt,0/0/5
