NEW_EVENT_TAG,Nocna Wielka Jatka u Smoka - 2000pkt AoS,14-08-2020,3
Kuba Kostrubiec,Kharadron Overlords,3/0/0
Zamaskowany Battlowiec,Idoneth Deepkin,3/0/0
Mateusz Kołakowski,Ossiarch Bonereapers,2/0/1
Filip 'Frodos' Redos,Ogor Mawtribes,2/0/1
Paweł Kubiak „ zeznicek”,Cities of Sigmar,2/0/1
Arkadiusz Moria,Cities of Sigmar,2/0/1
Michał Piotr Szara,Skaven,2/0/1
Szymon Rychert,Idoneth Deepkin,1/1/1
Jakub Dubrowski,Fyreslayers,2/0/1
Michał Cortez Nadolski,Lumineth Realmlords,1/1/1
Nikodem Bradtke,Skaven,1/1/1
Artur Łomnicki,Nighthaunt,1/1/1
Jacek Skoczek,Fyreslayers,1/1/1
Kuba Krupiński,Seraphon,1/0/2
Skary,Fyreslayers,1/0/2
Jesion,Gloomspite Gitz,1/0/2
Przelas,Disciples Of Tzeentch,0/1/2
Dariusz Beo Beomenas,Seraphon,0/1/2
Michał Pachulski,Cities of Sigmar,0/1/2
Patryk Sobisz,Slaves To Darkness,0/0/3
