NEW_EVENT_TAG,Northern Masters 2019,07-12-2019,5
John B,Hosts of Slaanesh,5/0/0
Andy Currie,Fyreslayers,4/0/1
Jp Ganis,Legion of Grief,4/0/1
Nathan Watson,Idoneth Deepkin,3/1/1
Liam Watt,Hosts of Slaanesh,3/0/2
David Nemeth (Loke),Ogor Mawtribes,3/0/2
Ian Spink,Bonesplitterz,3/0/2
Leigh Martin,Cities of Sigmar,3/0/2
Stu West,Legion of Blood,3/0/2
John Connelly,Skaven,2/0/3
Kevin Low,Daughters Of Khaine,3/0/2
Ross Joyce,Gloomspite Gitz,2/0/3
Martin Swaffield,Idoneth Deepkin,2/0/3
John Craig,Cities of Sigmar,2/0/3
MATTR,Fyreslayers,1/1/3
Mike Callaghan,Ironjawz,1/0/4
Craig Graham,Sylvaneth,2/0/3
Johnny Forde,Ironjawz,1/0/4
David Jack,Stormcast Eternals,1/0/4
John Harper,Disciples Of Tzeentch,1/0/4
