NEW_EVENT_TAG,Notorious GT,25-05-2019,5
James Page,Legion of Sacrament,5/0/0
Liam Burnett-Blue,Flesh Eater Courts,4/0/1
Hayden Walker,Idoneth Deepkin,4/0/1
Bo Paterson,Idoneth Deepkin,4/0/1
Mitch Harty,Skaven,4/0/1
Tim Lind,Grand Host of Nagash,4/0/1
Tre Winika,Fyreslayers,4/0/1
Charles Black,Skaven,4/0/1
Nickolas Harris,Blades of Khorne,4/0/1
Jaques Smith,Ironjawz,4/0/1
Lee wilmot,Tempest Eye,3/0/2
Finn Decker,Daughters Of Khaine,3/0/2
Stephen Morris,Flesh Eater Courts,3/0/2
Aiden Nicol,Daemons Of Slaanesh,3/0/2
Jesse Kearns,Skaven,3/0/2
Brett Le Fleming,Flesh Eater Courts,3/0/2
Cameron King,Seraphon,3/0/2
Matt Watkinson,Ironjawz,3/0/2
Joseph Mackay,Flesh Eater Courts,3/0/2
Kerry Melody,Legion of Blood,3/0/2
Ryan McIntyre,Grand Host of Nagash,3/0/2
Sam Campbell,Maggotkin of Nurgle,3/0/2
Jonathan Ensor,Idoneth Deepkin,2/0/3
Matthew Brittion,Blades of Khorne,3/0/2
Daniel Street,Sylvaneth,2/0/3
Nicholas Jebson,Ironjawz,2/0/3
Seth Cook,Gloomspite Gitz,2/0/3
Marcel Fisher,Idoneth Deepkin,2/0/3
Regan O\'Halloran,Blades of Khorne,2/0/3
Alexander Sinclair,Stormcast Eternals,2/0/3
Tom Hampson,Skaven,2/0/3
Jordan Wayne-Smith,Sylvaneth,2/0/3
James McGregor,Order Draconis,2/0/3
Ron Golds,Gutbusters,2/0/3
Clint Mallet,Grand Host of Nagash,2/0/3
Jared Angus,Dispossessed,2/0/3
Tom Lay,Beasts of Chaos,2/0/3
Michael Stewart,Stormcast Eternals,1/0/4
Sloane Dougherty,Ironjawz,2/0/3
Mark Williams,Stormcast Eternals,2/0/3
Charles Lloyd,Death Grand Alliance,2/0/3
Daniel Slater,Disciples Of Tzeentch,1/0/4
Luke Burrough,Seraphon,1/0/4
Seamus Clifton,Sylvaneth,1/0/4
Eli Herring,Wanderers,1/0/4
Alick Harris,Maggotkin of Nurgle,1/0/4
Rohan Clark,Sylvaneth,0/0/5
Zane Birkett,Skaven,0/0/5
Daniel Gallen,-,0/0/0
Andrew Hodgson,Nighthaunt,0/0/0
