NEW_EVENT_TAG,Onslaught 2020,08-08-2020,3
Nathan Watson,Mixed,3/0/0
Phil McGuinness,Kharadron Overlords,3/0/0
Andy Currie,Fyreslayers,2/0/1
Mike Callaghan,Stormcast Eternals,2/0/1
David Nemeth (Loke),Sylvaneth,2/0/1
David Jack,Flesh Eater Courts,2/0/1
Joshua Richardson,Blades of Khorne,2/0/1
Andrew Stephen,Idoneth Deepkin,2/0/1
Will Pollock,The Living City,2/0/1
Paul Di Duca,Idoneth Deepkin,2/0/1
Jp Ganis,Legion of Grief,2/0/1
John B,Hosts of Slaanesh,2/0/1
Scott Smith,Ossiarch Bonereapers,1/0/2
Alan Mandelson,Beasts of Chaos,1/0/2
Erik Bews,Blades of Khorne,1/0/2
Gary Pollock,Legion of Night,1/0/2
Grant Fraser,Bonesplitterz,1/0/2
Johnny Forde,Ironjawz,1/0/2
Stu West,Legion of Night,1/0/2
Kevin Low,Bonesplitterz,0/0/3
Kat Fekete,Blades of Khorne,0/0/3
John Harper,Tzeentch Arcanites,0/0/3
