NEW_EVENT_TAG,Pre-Drużynówka - Turniej Lokalny,11-01-2020,3
Piotr Kurkowski,Daughters Of Khaine,3/0/0
Olgierd Sawicki,Ossiarch Bonereapers,3/0/0
Lukasz Krokos,Idoneth Deepkin,3/0/0
Ziemek,Seraphon,2/0/1
KrzysztofChadam,Slaves To Darkness,2/0/1
"Dagmara ""Gaga"" Wajs",Daughters Of Khaine,2/0/1
"Marcin ""Mandos"" Żółciński",Slaves To Darkness,2/0/1
Adrian Kaczyński,Skaven,2/0/1
Michał Piętka,Stormcast Eternals,2/0/1
Krzysztof Piętka,Ironjawz,2/0/1
Tomasz Malinowski,Legion of Sacrament,1/0/2
Damian Kozaczuk,Gloomspite Gitz,1/0/2
Mateusz Radomyski,Sylvaneth,1/0/2
Damian Kielbasa,Khorne Bloodbound,1/0/2
Paweł Żybura,Ossiarch Bonereapers,0/0/3
Piotr Roszkowski,Hammerhal,0/0/3
Arkadiusz Nikiel ,Hallowheart,0/0/3
Jakub Luszewski,Skaven,0/0/3
Piotr Kurkowski,Dagmara "Gaga" Wajs,Piotr Kurkowski,Michał Piętka,Piotr Kurkowski,Tomasz Malinowski
Olgierd Sawicki,KrzysztofChadam,Olgierd Sawicki,Damian Kozaczuk,Olgierd Sawicki,Arkadiusz Nikiel
Lukasz Krokos,Piotr Roszkowski,Lukasz Krokos,Arkadiusz Nikiel,Lukasz Krokos,Krzysztof Piętka
Krzysztof Piętka,Ziemek,Ziemek,Adrian Kaczyński,Ziemek,Tomasz Malinowski
Olgierd Sawicki,KrzysztofChadam,KrzysztofChadam,Mateusz Radomyski,KrzysztofChadam,Damian Kielbasa
Dagmara "Gaga" Wajs,Mateusz Radomyski,Piotr Kurkowski,Dagmara "Gaga" Wajs,Dagmara "Gaga" Wajs,Paweł Żybura
Marcin "Mandos" Żółciński,Jakub Luszewski,Marcin "Mandos" Żółciński,Damian Kielbasa,Adrian Kaczyński,Marcin
Adrian Kaczyński,Arkadiusz Nikiel,Ziemek,Adrian Kaczyński,Adrian Kaczyński,Marcin
Michał Piętka,Damian Kozaczuk,Piotr Kurkowski,Michał Piętka,Michał Piętka,Jakub Luszewski
Krzysztof Piętka,Ziemek,Krzysztof Piętka,Paweł Żybura,Lukasz Krokos,Krzysztof Piętka
Piotr Kurkowski,Tomasz Malinowski,Tomasz Malinowski,Piotr Roszkowski,Ziemek,Tomasz Malinowski
Michał Piętka,Damian Kozaczuk,Olgierd Sawicki,Damian Kozaczuk,Damian Kozaczuk,Piotr Roszkowski
Dagmara "Gaga" Wajs,Mateusz Radomyski,KrzysztofChadam,Mateusz Radomyski,Mateusz Radomyski,Jakub Luszewski
Damian Kielbasa,Paweł Żybura,Marcin "Mandos" Żółciński,Damian Kielbasa,KrzysztofChadam,Damian Kielbasa
Damian Kielbasa,Paweł Żybura,Krzysztof Piętka,Paweł Żybura,Dagmara "Gaga" Wajs,Paweł Żybura
Lukasz Krokos,Piotr Roszkowski,Tomasz Malinowski,Piotr Roszkowski,Damian Kozaczuk,Piotr Roszkowski
Adrian Kaczyński,Arkadiusz Nikiel,Lukasz Krokos,Arkadiusz Nikiel,Olgierd Sawicki,Arkadiusz Nikiel
Marcin "Mandos" Żółciński,Jakub Luszewski,Michał Piętka,Jakub Luszewski,Mateusz Radomyski,Jakub Luszewski
