NEW_EVENT_TAG,Relam of Geddon,01-02-2020,5
Erik Sala,Ossiarch Bonereapers,4/1/0
Mikael Magnusson,Disciples Of Tzeentch,4/0/1
"Andreas ""Anjo"" Johansson",Disciples Of Tzeentch,4/0/1
Dinos Kellis,Blades of Khorne,4/0/1
Jonas Rådemar,Idoneth Deepkin,3/0/2
Tim Skoglund,Gloomspite Gitz,3/0/2
Sebastian Hedberg,Slaves To Darkness,3/0/2
Jonathan Snygg,Maneaters,3/0/1
David Grimmer,Nighthaunt,3/0/2
Rasmus Nilsen,Ossiarch Bonereapers,3/0/2
Ulf Törnqvist,Stormcast Eternals,3/0/2
Kennie Henriksson,Seraphon,2/1/2
Jonas Fredriksson,Hallowheart,2/0/3
Björn Francke,Skaven,1/2/2
Michael A,Stormcast Eternals,2/0/3
Mathias Ortlieb,Gloomspite Gitz,2/0/3
Jan Olsson,The Living City,2/0/3
Pontus Pantzar,Ironjawz,1/0/4
Ludwig Brohammer,Kharadron Overlords,1/0/4
Oscar Johannesson,Maggotkin of Nurgle,1/0/4
Daniel Terdell,Skaven,1/0/2
Andreas johansson borås,Blades of Khorne,0/0/5
