NEW_EVENT_TAG,RISING SUN GT AOS 2019,14-09-2019,5
Ethelite,Hosts of Slaanesh,5/0/0
Thomas Bell,Ironjawz,4/0/1
Junnichiro Shiba,Grand Host of Nagash,4/0/1
Antonio,Nighthaunt,4/0/1
James Bunting,Stormcast Eternals,3/0/2
Gilles Daquin,Blades of Khorne,3/0/2
Daniel Myles,Legion of Sacrament,3/0/2
Ant Warren,Maggotkin of Nurgle,3/0/2
Haga Takashi,Blades of Khorne,3/0/2
Pham Anh Quoc,Sylvaneth,3/0/2
Yusuke Adachi,Seraphon,2/0/3
Katsumi Takahashi,Flesh Eater Courts,2/0/3
Patrick Sampson,Sylvaneth,2/0/3
Mizuki Kawakita,Skaven,2/0/3
Andy Collins,Maggotkin of Nurgle,2/0/3
Daiki Takahashi,Ironjawz,2/0/0
Pepo,Stormcast Eternals,2/0/3
Yoshihiro Wakita,Beastclaw Raiders,2/0/3
Spanky,Seraphon,1/0/4
Shinji Nohara,Idoneth Deepkin,1/0/4
Kyosuke Imura,Stormcast Eternals,1/0/4
Hikari Takahashi,Skaven,1/0/4
Harrison Kendall,Nighthaunt,0/0/3
