NEW_EVENT_TAG,September 28/29th Event,27-09-2019,6
James	Tinsdale,Daemons Of Slaanesh,6/0/0
Chris	Caves,Disciples Of Tzeentch,5/1/0
Marc	Brookes,Skaven,5/0/1
Byron	Orde,Bonesplitterz,5/0/1
Laurie	Huggett-Wilde,Sylvaneth,5/0/1
Michael 	Wilson,Daemons Of Slaanesh,5/0/1
Georgios	Moudatsos,Beasts of Chaos,4/1/1
Terry	Pike,Daemons Of Nurgle,4/0/2
Samuel	Saunders,Stormcast Eternals,4/0/2
Dan 	Ford,Skaven,4/0/2
Matthew	Gouldesbrough,Seraphon,4/0/2
Andy	Hughes,Hosts of Slaanesh,4/0/2
Chris	banks,Skaven,4/0/2
Benjamin Savva,Daughters Of Khaine,4/0/2
Russell	Veal,Blades of Khorne,4/0/2
George	Vathipoulias,Idoneth Deepkin,4/0/2
IOANNIS	SOURTZIS,Seraphon,4/0/2
Stephen	Curtis,Flesh Eater Courts,4/0/2
Daniel	White,Skaven,4/0/2
Craig	Namvar,Disciples Of Tzeentch,3/1/2
Matthew	Feltham,Daughters Of Khaine,4/0/2
andrew	bryan,Skaven,4/0/2
Samuel	Loving,Stormcast Eternals,3/1/2
Piotr	Kurkowski,Daughters Of Khaine,3/0/3
Rob	Bradley,Skaven,3/0/3
Julien	Duvoux,Skaven,4/0/2
Patric	Frowein,Fyreslayers,3/0/3
Karl	Breakspear,Fyreslayers,3/0/3
james	grant,Stormcast Eternals,3/0/3
Jack	Mayland,Beasts of Chaos,3/0/3
ross	edwards,Maggotkin of Nurgle,3/0/3
Ben	Raven,Blades of Khorne,3/0/3
James	Chalmers,Gloomspite Gitz,3/0/3
Matthew	Walker,Hosts of Slaanesh,3/0/3
Chris	Caves Snr.,Daughters Of Khaine,3/0/3
Björn	Malmborg,Free Peoples,3/0/3
Daniel	Scott,Daughters Of Khaine,3/0/3
Thomas	Fretwell,Flesh Eater Courts,3/0/3
Ethan 	Leach,Fyreslayers,3/0/3
Jack	McQuiggin,Seraphon,2/0/4
Joe	Jackson,Sylvaneth,3/0/3
Ciaran	Smyth,Maggotkin of Nurgle,3/0/3
Craig	Chesters,Daughters Of Khaine,2/0/4
Will	Rose,Tomb Kings,2/0/4
Travis	Kelly,Fyreslayers,3/0/3
Darren	Phipps-Walker,Flesh Eater Courts,2/0/4
Matthew	Pardoe,Blades of Khorne,2/0/4
Lars	Hellwig,Beastclaw Raiders,2/0/4
Owen	Jackson,Sylvaneth,2/0/4
Declan	Waters,Gloomspite Gitz,1/0/5
Jon	Williams,Blades of Khorne,2/0/4
Emyr	Mortimer-Roberts,Skaven,1/0/5
Gary 	Percival,Kharadron Overlords,2/0/1
Martin	swaffield,Disciples Of Tzeentch,2/0/4
Dan 	Bradshaw,Idoneth Deepkin,2/0/1
Will	Barton,Stormcast Eternals,1/0/5
Jani,Ironjawz,2/0/4
Jason	Hodgkinson,Ironjawz,1/0/5
David	Ellis,Ironjawz,2/0/4
Thomas	Waller,Stormcast Eternals,1/0/5
Peter	Bradley,Death Grand Alliance,2/0/4
Les	Martin,Fyreslayers,2/0/2
Andrew Millington,Kharadron Overlords,2/0/3
Tim	Holbrook,Gloomspite Gitz,1/0/5
Ceri Robson,Gloomspite Gitz,1/0/5
Daniel	Asensio,Gloomspite Gitz,1/0/5
Max	Barton,Blades of Khorne,1/0/2
Ben	Bailey,Seraphon,0/0/6
