NEW_EVENT_TAG,Stockholm Slaughter II,15-06-2019,5
Bubba,UNKNOWN_ARMY,0/0/0
Fredrik Andersson,UNKNOWN_ARMY,0/0/0
Lillen Svensson,UNKNOWN_ARMY,0/0/0
Jesper melander,UNKNOWN_ARMY,0/0/0
Alexander Örtensjö,UNKNOWN_ARMY,0/0/0
UlfErling,UNKNOWN_ARMY,0/0/0
Craig Turner,UNKNOWN_ARMY,0/0/0
Jonatan Edlund,UNKNOWN_ARMY,0/0/0
Arvid snö ,UNKNOWN_ARMY,0/0/0
Folke Byfors,UNKNOWN_ARMY,0/0/0
Sebastian Isheden,UNKNOWN_ARMY,0/0/0
Mattias hartzell ,UNKNOWN_ARMY,0/0/0
Björn Malmborg,UNKNOWN_ARMY,0/0/0
Pontus Krontoft,UNKNOWN_ARMY,0/0/0
Lars stålkäft Lindholm,UNKNOWN_ARMY,0/0/0
Magnus Nedfors,UNKNOWN_ARMY,0/0/0
Albin Kellqvist,UNKNOWN_ARMY,0/0/0
Jakob Takanen ,UNKNOWN_ARMY,0/0/0
Simon Andersson,UNKNOWN_ARMY,0/0/0
Martin Axén,UNKNOWN_ARMY,0/0/0
Daniel Martinell,UNKNOWN_ARMY,0/0/0
Vilhelm Stokstad,UNKNOWN_ARMY,0/0/0
Bubba,UlfErling,Jesper melander,Bubba,Bubba,Folke Byfors,Bubba,Martin Axén,Bubba,Albin Kellqvist
Fredrik Andersson,Jonatan Edlund,Fredrik Andersson,Björn Malmborg,Fredrik Andersson,Pontus Krontoft,Fredrik Andersson,Albin Kellqvist,Sebastian Isheden,Fredrik Andersson
Lillen Svensson,Jesper melander,Lillen Svensson,Lars stålkäft Lindholm,Lillen Svensson,UlfErling,Lillen Svensson,Björn Malmborg,Lillen Svensson,Mattias hartzell
Lillen Svensson,Jesper melander,Jesper melander,Bubba,Jesper melander,Sebastian Isheden,Jesper melander,Arvid snö,Jesper melander,Magnus Nedfors
WarhammerWarsson,Sebastian Isheden,WarhammerWarsson,Martin Axén,WarhammerWarsson,Jakob Takanen,Craig Turner,WarhammerWarsson,Jonatan Edlund,WarhammerWarsson
Bubba,UlfErling,UlfErling,Folke Byfors,Lillen Svensson,UlfErling,UlfErling,Daniel Martinell,UlfErling,Pontus Krontoft
Craig Turner,Daniel Martinell,Jonatan Edlund,Craig Turner,Craig Turner,Martin Axén,Craig Turner,WarhammerWarsson,Björn Malmborg,Craig Turner
Fredrik Andersson,Jonatan Edlund,Jonatan Edlund,Craig Turner,Daniel Martinell,Jonatan Edlund,Sebastian Isheden,Jonatan Edlund,Jonatan Edlund,WarhammerWarsson
Arvid snö,Lars stålkäft Lindholm,Arvid snö,Magnus Nedfors,Arvid snö,Vilhelm Stokstad,Jesper melander,Arvid snö,Daniel Martinell,Arvid snö
Folke Byfors,Mattias hartzell,UlfErling,Folke Byfors,Bubba,Folke Byfors,Folke Byfors,Lars stålkäft Lindholm,Folke Byfors,Vilhelm Stokstad
WarhammerWarsson,Sebastian Isheden,Sebastian Isheden,Daniel Martinell,Jesper melander,Sebastian Isheden,Sebastian Isheden,Jonatan Edlund,Sebastian Isheden,Fredrik Andersson
Folke Byfors,Mattias hartzell,Mattias hartzell,Pontus Krontoft,Björn Malmborg,Mattias hartzell,Mattias hartzell,Jakob Takanen,Lillen Svensson,Mattias hartzell
Björn Malmborg,Albin Kellqvist,Fredrik Andersson,Björn Malmborg,Björn Malmborg,Mattias hartzell,Lillen Svensson,Björn Malmborg,Björn Malmborg,Craig Turner
Pontus Krontoft,Martin Axén,Mattias hartzell,Pontus Krontoft,Fredrik Andersson,Pontus Krontoft,Pontus Krontoft,Simon Andersson,UlfErling,Pontus Krontoft
Arvid snö,Lars stålkäft Lindholm,Lillen Svensson,Lars stålkäft Lindholm,Lars stålkäft Lindholm,Magnus Nedfors,Folke Byfors,Lars stålkäft Lindholm,Lars stålkäft Lindholm,Jakob Takanen
Magnus Nedfors,Simon Andersson,Arvid snö,Magnus Nedfors,Lars stålkäft Lindholm,Magnus Nedfors,Magnus Nedfors,Vilhelm Stokstad,Jesper melander,Magnus Nedfors
Björn Malmborg,Albin Kellqvist,Albin Kellqvist,Jakob Takanen,Albin Kellqvist,Simon Andersson,Fredrik Andersson,Albin Kellqvist,Bubba,Albin Kellqvist
Jakob Takanen,Vilhelm Stokstad,Albin Kellqvist,Jakob Takanen,WarhammerWarsson,Jakob Takanen,Mattias hartzell,Jakob Takanen,Lars stålkäft Lindholm,Jakob Takanen
Magnus Nedfors,Simon Andersson,Simon Andersson,Vilhelm Stokstad,Albin Kellqvist,Simon Andersson,Pontus Krontoft,Simon Andersson,Martin Axén,Simon Andersson
Pontus Krontoft,Martin Axén,WarhammerWarsson,Martin Axén,Craig Turner,Martin Axén,Bubba,Martin Axén,Martin Axén,Simon Andersson
Craig Turner,Daniel Martinell,Sebastian Isheden,Daniel Martinell,Daniel Martinell,Jonatan Edlund,UlfErling,Daniel Martinell,Daniel Martinell,Arvid snö
Jakob Takanen,Vilhelm Stokstad,Simon Andersson,Vilhelm Stokstad,Arvid snö,Vilhelm Stokstad,Magnus Nedfors,Vilhelm Stokstad,Folke Byfors,Vilhelm Stokstad
