NEW_EVENT_TAG,Stockholm Slaughter III,25-01-2020,3
Jesper melander,Ossiarch Bonereapers,3/0/0
Fredrik Andersson,Ogor Mawtribes,3/0/0
Björn Malmborg,Ogor Mawtribes,3/0/0
Daniel Martinell,Stormcast Eternals,2/0/1
David Bredenberg,Ossiarch Bonereapers,2/0/1
Craig Turner,Stormcast Eternals,2/0/1
Pontus Krontoft,Slaves To Darkness,2/0/1
Andreas Raland,Disciples Of Tzeentch,2/0/1
Sebastian Isheden,Seraphon,2/0/1
Adam Janson,Ossiarch Bonereapers,2/0/1
Marcus Hagberg,Flesh Eater Courts,2/0/1
Johan Börjesson,Cities of Sigmar,2/0/1
Vilhelm Stokstad,Disciples Of Tzeentch,1/0/2
Robin Slätt,Fyreslayers,1/0/2
Erik Sundberg,Cities of Sigmar,1/0/2
Lars stålkäft Lindholm,Ironjawz,1/0/2
Ludvig Palmquist,Ironjawz,1/0/2
Albin Kellqvist,Ironjawz,1/0/2
Simon Selberg,Stormcast Eternals,1/0/2
Robert Hansen,Fyreslayers,1/0/2
Robin Lundkvist,Stormcast Eternals,0/1/2
Jesper Nordqvist,Blades of Khorne,0/1/2
Nils Wallberg,Seraphon,0/0/3
Tim Lundkvist,Grand Host of Nagash,0/0/3
