NEW_EVENT_TAG,Throne of Skulls Escalation,08-02-2020,5
Brad Glover,-,5/0/0
Jack Morton,-,4/1/0
Micheal Brown,-,4/0/1
Phillip Morton,-,4/0/1
Danny Cashman,-,4/0/1
James Field,-,4/0/1
Jon Keightley,-,4/0/1
David Ellis,-,4/0/1
Willam Metcalf,-,4/0/1
Graeme Purcifer,-,4/0/1
Will Spencer,-,4/0/1
Micheal Cook,-,3/1/1
Jamie White,-,3/1/1
Lucas Freed,-,3/0/2
Daz Brain,-,3/0/2
Dan Wright,-,3/1/1
Jes Bickham,-,3/0/2
Liam Baddeley,-,3/0/2
Mathew Large,-,3/1/1
William Holley,-,3/0/2
Jim Wilson,-,3/0/2
James Dean,-,3/0/2
Gareth Whitchurch,Monsters Of Destruction,3/0/2
Thomas Dynan,-,3/0/2
Sam Woodbridge-stocks,-,3/0/2
Dean Lymath,-,3/0/2
Will Rose,-,3/0/2
Dylan Baker,-,3/0/2
Tom Bridges,-,3/0/1
Stuart Hilton,-,3/0/2
Anthony Poole,-,3/0/2
Ceri Robson,-,2/1/2
Jason Hodgkinson,-,2/1/2
Rich Packer,-,3/0/2
Leighton Krokoszynski,-,3/0/2
Chris Lewis,-,2/0/3
Stephen Smith,-,2/0/3
Lawrance East,-,2/0/3
Alex Jones,-,2/0/3
Will Hodgson,-,2/1/2
James Karch,-,2/0/3
Mark Stone,-,2/0/3
Daniel Bromley,-,2/0/3
Calvin Clarke,-,2/0/3
Stu Millar,-,2/0/3
Chris Swift,-,2/0/3
Joe Shepherd,-,2/0/3
Dean Garnhan,-,2/0/3
Toby Durr,-,1/2/2
Carl Kennard,-,2/0/3
Joseph Webster,-,2/0/3
Andy Woods,-,2/0/3
Lee Maddison,-,1/1/3
Elliot Oneil,-,2/0/3
Jamie Muscroft,-,1/1/3
Daniel Allen,-,1/0/4
Dave Wright,-,1/0/4
Ricky Smith,-,1/0/4
Paul Litherland,-,1/1/3
Rob Stevens,-,1/0/4
Liam Durr,-,1/0/4
Chris Kirby,-,1/0/4
John Findle,-,1/0/4
Scott Baker,-,1/0/4
James Watterson,-,1/0/4
Johnathan Grey,-,0/1/4
James Littler,-,0/0/4
Buddy Laine,-,0/0/5
