NEW_EVENT_TAG,TTS 16th May,16-05-2020,3
Matthew Gouldesbrough,Seraphon,3/0/0
Anttu,Mixed,3/0/0
JackQuig,Seraphon,3/0/0
Stephen Follows,Orruks,3/0/0
Obaid Bin-Nasir,Seraphon,2/0/1
pauliswright,Idoneth Deepkin,2/0/1
Dan Arnold,Idoneth Deepkin,2/0/1
Iuncta_Iuvant,Seraphon,2/0/1
Aaron Wilson,Seraphon,2/0/1
TogII_U_later,Mixed,2/0/1
Seb Made me Bring this,Ogor Mawtribes,2/0/1
Darryn Quirk,Kharadron Overlords,2/0/1
Marcvs,Stormcast Eternals,2/0/1
Benji,Ossiarch Bonereapers,2/0/1
Tom Bell,Orruks,1/0/2
Jonathon Anderson,Idoneth Deepkin,1/0/2
Fukushim,Skaven,1/0/2
Alexander Sluka,Kharadron Overlords,1/0/2
sudge1483,Ossiarch Bonereapers,1/0/2
Marc Brookes,Slaves To Darkness,1/0/2
Owen Jackson,Blades of Khorne,1/0/2
Tom Cunnell,Sylvaneth,1/0/2
Tyler “Buckets” Pearson,Cities of Sigmar,1/0/2
James Chan Gweynor,Skaven,1/0/2
ChrisBodin,Orruks,1/0/2
Ellis Priestley,Slaves To Darkness,0/0/3
TaurielBlack,Cities of Sigmar,0/0/3
W4Rmachine7,Sylvaneth,0/0/1
Budtasticguy,Gloomspite Gitz,0/0/3
marrlfox,Maggotkin of Nurgle,0/0/1
