NEW_EVENT_TAG,Ulster Open 2019: Doom of Azyr,24-08-2019,5
Dave Robinson,Flesh Eater Courts,5/0/0
Chris Caves Jr,Disciples Of Tzeentch,4/0/1
Stephen Mitchell,Flesh Eater Courts,4/0/1
Ric Myhill,Mixed,4/0/1
Chris Myhill,Disciples Of Tzeentch,4/0/1
Ben Cochrane,Fyreslayers,4/0/1
Michael Wendel,Disciples Of Tzeentch,4/0/1
Will O Siorain,Idoneth Deepkin,4/0/1
Donal Taylor,Gloomspite Gitz,4/0/1
Shane Forde,Beasts of Chaos,3/0/2
Neil Montgomery,Daemons Of Slaanesh,3/0/2
Andy Scott,Ironjawz,4/0/1
Craig Morrow,Skaven,3/0/2
JP Ganis,Gloomspite Gitz,3/0/2
Michael Brough,Skaven,3/0/2
Callum Sinclair,Gloomspite Gitz,3/0/2
Rob Kelly,Flesh Eater Courts,3/0/2
Solomon Morrow,Legions of Nagash,3/0/2
Dave Kane,Kharadron Overlords,3/0/2
James Pickup,Maggotkin of Nurgle,3/0/2
Colin Cochrane,Stormcast Eternals,3/0/2
Nathan Sandison,Flesh Eater Courts,3/0/2
Evan White,Skaven,3/0/2
Daermot Leacy,Stormcast Eternals,3/0/2
Phil McGuinness,Kharadron Overlords,3/0/2
Mark Roberts,Bonesplitterz,3/0/2
Bob Frazer,Fyreslayers,2/0/3
Michael Byrne,Seraphon,2/0/3
Hayden McMurray,Ironjawz,3/0/2
Robbie Wright,Idoneth Deepkin,2/0/3
Chris Archibald,Kharadron Overlords,2/0/3
John Dorrian,Skaven,2/0/3
Sean Murray,Stormcast Eternals,2/0/3
Simon McPolin,Stormcast Eternals,2/0/3
Samuel Greene,Skaven,2/0/3
Kieran McParland,Nighthaunt,2/0/3
Chris Elliot,Skaven,2/0/3
Kevin Grimes,Daemons Of Slaanesh,2/0/3
Matty Kane,Stormcast Eternals,2/0/3
Sean O'hara,Flesh Eater Courts,2/0/3
Tom Cothier,Stormcast Eternals,1/0/4
David Neri,Flesh Eater Courts,1/0/4
Martin Wilson,Fyreslayers,1/0/4
Chris Nellis,Ironjawz,1/0/4
Barry White,Beastclaw Raiders,1/0/4
Grant Fraser,Flesh Eater Courts,1/0/4
Rik Eddon,Fyreslayers,1/0/4
Kevin Harrington,Flesh Eater Courts,1/0/4
Gavin Dorrigan,Flesh Eater Courts,1/0/4
Martin Laughlin,Skaven,0/0/5
Malachy McC,Legions of Nagash,1/0/2
Adam Fox,Maggotkin of Nurgle,0/0/3
