NEW_EVENT_TAG,War in the Mortal Realms IX,26-10-2019,3
Matthew Gouldesbrough,Seraphon,3/0/0
Matt Dawson,Hosts of Slaanesh,3/0/0
Patrick Taylor,Idoneth Deepkin,2/0/1
Dave carter,Nighthaunt,2/0/1
Nicholas Ruesink-Brown,Daughters Of Khaine,2/0/1
Ray Standage,Seraphon,2/0/1
Des Brennan,Orruks,2/0/1
Donal Taylor,Gloomspite Gitz,2/0/0
Liam Hartles,Bonesplitterz,1/0/2
Chris Nielsen,Grand Host of Nagash,1/0/2
Charles Hollom,Beasts of Chaos,1/0/2
David Busse,Ironjawz,1/0/2
Toby Doyle,Free Peoples,1/0/2
Ashley Bone,Bonesplitterz,0/0/2
Tom Brown,Stormcast Eternals,0/0/3
Rob Wales,Orruks,0/0/3
