NEW_EVENT_TAG,War in the Mortal Realms V,11-05-2019,3
Benjamin Savva,Daughters Of Khaine,3/0/0
Vincent Chan,Blades of Khorne,3/0/0
LeoR,Sylvaneth,3/0/0
Joe McGough,Skaven,2/0/1
Tom Gilboy,Idoneth Deepkin,2/0/1
Matthew Gouldesbrough,Legion of Blood,2/0/1
Charles Nolan,Blades of Khorne,2/0/1
TL Low,Grand Host of Nagash,2/0/1
Thomas Lemoine,Flesh Eater Courts,2/0/1
Jake Powis,Sylvaneth,2/0/1
Hugh Halligan,Skaven,2/0/1
Simon Fro,Anvilguard,2/0/1
josh wheeler,Skaven,1/0/2
Ben Murphy,Mixed,1/0/2
Adam Cunis,Order Draconis,1/0/2
Thomas Hamilton,Disciples Of Tzeentch,1/0/2
daniil osudin,Disciples Of Tzeentch,1/0/2
Obaid Bin-Nasir,Stormcast Eternals,1/0/2
Maxime Julian,Stormcast Eternals,1/0/2
Glenn Caldecott,Stormcast Eternals,1/0/2
Dave carter,Nighthaunt,1/0/2
Neil Samuels,Mixed,0/0/3
Ben Gomm,Nighthaunt,0/0/3
Phil Dodd,Stormcast Eternals,0/0/3
