NEW_EVENT_TAG,War in the Mortal Realms VII,10-08-2019,3
TL Low,Idoneth Deepkin,3/0/0
Dan Ryan,Skaven,3/0/0
Neil Samuels,Hosts of Slaanesh,2/0/1
Thomas Lemoine,Flesh Eater Courts,2/0/1
Hugh Halligan,Free Peoples,2/0/1
Dave carter,Legion of Grief,2/0/1
Kyle Staton,Hosts of Slaanesh,2/0/1
ThomasFreegard,Gloomspite Gitz,2/0/1
Arran Folly,Ironjawz,1/0/2
Ralph Hughes,Free Peoples,1/0/2
Tom Gilboy,Daughters Of Khaine,1/0/2
Matthew walker,Hosts of Slaanesh,1/0/2
Des Brennan,Sylvaneth,1/0/2
Thomas Hamilton,Blades of Khorne,1/0/2
Toby Doyle,Free Peoples,0/0/3
Alex Cable,Beasts of Chaos,0/0/3
