NEW_EVENT_TAG,War in the Mortal Realms VIII,28-09-2019,3
Donal Taylor,Gloomspite Gitz,3/0/0
Dan Ryan,Skaven,3/0/0
Dave carter,Legion of Grief,2/0/1
TimGibbs,Ironjawz,2/0/1
Vincent Chan,Blades of Khorne,2/0/1
John Burgess,Blades of Khorne,2/0/1
Pask Made Me Bring This,Hosts of Slaanesh,2/0/1
Tom Brown,Stormcast Eternals,2/0/1
JoeRoxborough,Sylvaneth,2/0/1
Arran Folly,Ironjawz,1/0/2
Jim Dixon,Stormcast Eternals,1/0/2
Adam Cunis,Soulblight,1/0/2
Obaid Bin-Nasir,Stormcast Eternals,1/0/2
Ross Pearson,Maggotkin of Nurgle,1/0/2
Thomas Hamilton,Disciples Of Tzeentch,1/0/2
Warptunneller,Nighthaunt,1/0/2
Des Brennan,Beasts of Chaos,0/0/3
Lee Whitely,Gutbusters,0/0/3
