NEW_EVENT_TAG,Warhammer 40k Tournament,30-07-2017,3
Steven King,-,3/0/0
David Atwood,-,3/0/0
Ricky D Williams,-,2/1/0
John Sigsby,-,2/1/0
Amir Golpoor,-,2/0/1
Andrew Schwarz,-,2/0/1
Josh Korn-Heilner,-,2/0/1
John Freiler,-,2/0/1
Harry Townsend,-,2/0/1
Tom Lane,-,2/0/1
Anthony Gulotta,-,2/0/1
Amanda Kopet,-,2/0/1
Russell Horridge,-,1/1/1
Alex Moyer,-,1/0/2
Hopper,-,1/0/2
Kevin O'Connell,-,1/0/2
Matt O'Toole,-,1/0/2
Craig Chmura,-,1/0/2
Eric C Krofchak,-,1/0/2
Matt Lilien,-,0/1/2
Gavin Coles,-,0/1/2
Tom Wibbelt,-,0/0/3
Lewis Windle,-,0/0/3
