NEW_EVENT_TAG,Warhammer AOS Tournament 16/7/17,16-07-2017,3
Scott Norwood,Mixed,3/0/0
Ashley McEwan,Tzeentch Arcanites,3/0/0
Joel Hennesy,Fyreslayers,3/0/0
Deke Johnstone,Mixed,2/0/1
Shaun Ratcliffe,Tzeentch Arcanites,2/0/1
Peter Pretyman,Mixed,2/0/1
Fued one,Daemons Of Tzeentch,2/0/1
Dan Brewer,Mixed,2/0/1
Zac Wilson,Seraphon,2/0/1
Ethan McDonald,Ironweld Arsonal,2/0/1
Thomas Holdsworth,Daemons Of Chaos,1/0/2
Anthony Magro,Mixed,1/0/2
Craig Anderson,Mixed,1/0/2
Michael Pene,Mixed,1/0/2
Peter Scherri,Mixed,1/0/2
Lucas Jones,Mixed,1/0/2
Robert Karlen,Mixed,1/0/2
Neil Ranger,Beastclaw Raiders,0/0/3
Daniel Worthington,Swifthawk Agents,0/0/3
Jared Fuchs,Mixed,0/0/3
Sean Hampstead,Sylvaneth,0/0/0
