NEW_EVENT_TAG,Warlords Revenge,08-02-2020,3
Paul Di Duca,Idoneth Deepkin,3/0/0
James Chalmers,Ogor Mawtribes,3/0/0
John Wharton,Ossiarch Bonereapers,3/0/0
Oliver Anderson,Ogor Mawtribes,3/0/0
Martin Swaffield,Idoneth Deepkin,3/0/0
Craig Graham,Ossiarch Bonereapers,2/0/1
Ian Spink,Bonesplitterz,2/0/1
Phil McGuinness,Kharadron Overlords,2/0/1
Harry scarr,Slaves To Darkness,2/0/1
Graham Shirley,Slaves To Darkness,2/0/1
David Jack,Ossiarch Bonereapers,2/0/1
Matthew Reiling,Kharadron Overlords,2/0/1
Kyle Brunskill,Order Draconis,2/0/1
Philip King,Ogor Mawtribes,2/0/1
Lee Foo,Ossiarch Bonereapers,2/0/1
Alex Walker,Ossiarch Bonereapers,1/0/2
Jason Short,Legion of Azgorh,1/0/2
Paul Whitehead,Ogor Mawtribes,1/0/2
Steve Henry,Ossiarch Bonereapers,1/0/2
Richard McQuarrie,Ironjawz,1/0/2
Stu West,Legion of Blood,1/0/2
Lee Hamilton,Stormcast Eternals,2/0/1
Thomas Carrott,Seraphon,1/0/2
Legion_mao,Legion Of Azgorh,1/0/2
Simon Rose,Slaves To Darkness,1/0/2
Tom Healey,Idoneth Deepkin,1/0/2
Chris Carroll,Ogor Mawtribes,1/0/2
Michael Turner,Nighthaunt,1/0/2
Steve Sanderson,Maggotkin of Nurgle,1/0/2
Matt sharp,Kharadron Overlords,0/1/2
Andrew Ramsey,Sylvaneth,0/0/3
James slater,Slaves To Darkness,0/1/2
Jozsef Medgyes,Daemons Of Slaanesh,0/0/3
Anthony Johnson,Idoneth Deepkin,0/0/3
"Gary ""Subidai"" Bullha",-,0/0/0
David Thompson,-,0/0/0
Jus oxman,-,0/0/0
Andrew Stephen,-,0/0/0
