NEW_EVENT_TAG,WarPath,10-08-2019,3
Leigh Martin,-,3/0/0
Jamie ferguson,-,3/0/0
John Craig,-,3/0/0
Liam Watt,-,3/0/0
Craig Graham,-,2/0/1
John Connelly,-,2/0/1
Paul Di Duca ,-,2/0/1
David Nemeth (Loke),-,2/0/1
David Jack,-,2/0/1
Greig Summers,-,2/0/1
Mark Roberts,-,2/0/1
Connor Kershaw,-,2/0/1
Kevin Low,-,1/0/2
Johnny Forde,-,1/0/2
Adam Martin,-,1/0/2
Martin kershaw,-,1/0/2
Christian White,-,1/0/2
Phil McGuinness,-,1/0/2
Grant Fraser,-,1/0/2
Ben Carlin,-,1/0/2
Scott Smith,-,1/0/2
Jack Carruthers,-,1/0/2
Stephen Ramage,-,1/0/2
Sean Mckechnie,-,0/0/3
Kat Fekete,-,0/0/3
Decano,-,0/0/3
Leigh Martin,Martin kershaw,Leigh Martin,David Jack,Leigh Martin,David Nemeth
Jamie ferguson,Johnny Forde,Jamie ferguson,Craig Graham,Jamie ferguson,John Connelly
John Craig,Connor Kershaw,John Craig,Paul Di Duca,John Craig,Christian White
Liam Watt,Mark Roberts,Liam Watt,yarrickson,Liam Watt,Adam Martin
Jamie ferguson,Craig Graham,Craig Graham,Greig Summers,Craig Graham,Martin kershaw
John Connelly,Christian White,John Connelly,Ben Carlin,Jamie ferguson,John Connelly
Paul Di Duca,Adam Martin,John Craig,Paul Di Duca,Paul Di Duca,Phil McGuinness
David Nemeth (Loke),yarrickson,David Nemeth (Loke),Scott Smith,Leigh Martin,David Nemeth
David Jack,Johnny Forde,Leigh Martin,David Jack,David Jack,Grant Fraser
Greig Summers,Phil McGuinness,Craig Graham,Greig Summers,Greig Summers,Decano
Liam Watt,Mark Roberts,Mark Roberts,Sean Mckechnie,Mark Roberts,Kat Fekete
John Craig,Connor Kershaw,Connor Kershaw,Jack Carruthers,Connor Kershaw,Ben Carlin
David Nemeth (Loke),yarrickson,Liam Watt,yarrickson,yarrickson,Stephen Ramage
David Jack,Johnny Forde,Jamie ferguson,Johnny Forde,Johnny Forde,Scott Smith
Paul Di Duca,Adam Martin,Adam Martin,Stephen Ramage,Liam Watt,Adam Martin
Leigh Martin,Martin kershaw,Martin kershaw,Decano,Craig Graham,Martin kershaw
John Connelly,Christian White,Christian White,Kat Fekete,John Craig,Christian White
Greig Summers,Phil McGuinness,Phil McGuinness,Grant Fraser,Paul Di Duca,Phil McGuinness
Grant Fraser,Jack Carruthers,Phil McGuinness,Grant Fraser,David Jack,Grant Fraser
Ben Carlin,Kat Fekete,John Connelly,Ben Carlin,Connor Kershaw,Ben Carlin
Scott Smith,Sean Mckechnie,David Nemeth (Loke),Scott Smith,Johnny Forde,Scott Smith
Grant Fraser,Jack Carruthers,Connor Kershaw,Jack Carruthers,Jack Carruthers,Sean Mckechnie
Stephen Ramage,Decano,Adam Martin,Stephen Ramage,yarrickson,Stephen Ramage
Scott Smith,Sean Mckechnie,Mark Roberts,Sean Mckechnie,Jack Carruthers,Sean Mckechnie
Ben Carlin,Kat Fekete,Christian White,Kat Fekete,Mark Roberts,Kat Fekete
Stephen Ramage,Decano,Martin kershaw,Decano,Greig Summers,Decano
