NEW_EVENT_TAG,Winter Wipeout 2019,31-08-2019,3
Joel McGrath,Stormcast Eternals,3/0/0
Jason Brown,Flesh Eater Courts,3/0/0
Dalton Jake Brown,Gloomspite Gitz,3/0/0
Lachlan McLean,Gloomspite Gitz,3/0/0
Corey Beilharz,Disciples Of Tzeentch,2/0/1
Rhys Mcglinn,Legion of Azgorh,2/0/1
Thomas Smart,Flesh Eater Courts,2/0/1
Ryan chamley,Stormcast Eternals,2/0/1
David Wolfe,Beastclaw Raiders,2/0/1
Danny Carroll,Daughters Of Khaine,2/0/1
Michael Clarke,Hallowheart,2/0/1
Daniel Brown,Ironjawz,2/0/1
Wade Mcdonald,Stormcast Eternals,2/0/1
Dale Walker,Stormcast Eternals,2/0/1
Ace Raiden,Mixed,2/0/1
Fletcher Oldaker,Warherd,1/0/2
Mark Yelverton,Legion of Sacrament,1/0/2
Nathan Thompson,Fyreslayers,1/0/2
Tyson Gleeson,Sylvaneth,1/0/2
Kingsley Muir,Tomb Kings,1/0/2
Stephen Binek,Beastclaw Raiders,1/0/2
Jason Murdoch,Beasts of Chaos,1/0/2
Riley O'Conner,Masterclan,1/0/2
Ion Zisu,Nighthaunt,1/0/2
Brody Mallegrom,Maggotkin of Nurgle,1/0/2
Jason Spinks,Gloomspite Gitz,1/0/2
Jared Mallegrom,Beasts of Chaos,0/0/3
Jessica Hutchin,Stormcast Eternals,0/0/3
Jarrad Coots,Daemons Of Nurgle,0/0/3
Grant Ollis,Gloomspite Gitz,0/0/3
