NEW_EVENT_TAG,A Godbeast Unchained,27 Jul 2019,5
Anthony Boulton,Hosts of Slaanesh
Andy Brown,Nighthaunt
Andy Bryan,Skaventide
Jack Mayland,Beasts of Chaos
Simon Holmes,Flesh Eater Courts
Tim Unwin,Blades of Khorne
Jason Stanyer,Sylvaneth
Daniel Biddle,Fyreslayers
Aaron Walters,Sylvaneth
Andy Wood,Flesh Eater Courts
Carl Bagnall,Skaventide
Mathew Crowther,Idoneth Deepkin
Kyle Aspinall,Legion of Sacrement
Player,Gutbusters
Lee Downes,Daughters of Khaine
Jason Hodgekinson,Ironjawz
Mal Edge,Nighthaunt
Scott Baker,Blades of Khorne
Tom Bailey,Legion of Sacrement
Mark Chadwick,Stormcast Eternals
Gareth Ravenscroft,Gloomspite Gitz
Nick Pilgrim,Stormcast Eternals
Buddy Lane,Seraphon
Alex Tooth,Stormcast Eternals
David Jennings,Stormcast Eternals
Craig Chesters,Stormcast Eternals
