NEW_EVENT_TAG,Age of Sigmar Grand Final,29 Sep 2019,6
James Tinsdale,Hedonites of Slaanesh
Byron Orde,Bonesplitterz
Laurie H,Sylvaneth
Marc Brookes,Skaventide
Chris Caves Jr,Disciples of Tzeentch
Michael Wilson,Hedonites of Slaanesh
Benjamin Savva,Daughters of Khaine
Terry Pike,Daemons of Nurgle
George Vathipoulias,Idoneth Deepkin
Steve Curtis,Flesh Eater Courts
Sam Saunders,Stormcast Eternals
George Moudatsos,Beasts of Chaos
Giannis Sourtzis,Seraphon
Russ Veal,Blades of Khorne
Andy Hughes,Hedonites of Slaanesh
Chris Banks,Skaventide
Daniel Ford,Skaventide
Matthew Gouldesbrough,Seraphon
Daniel White,Skaven
Craig Namvar,Disciples of Tzeentch
Chris Caves Snr,Daughters of Khaine
Sam Loving,Stormcast Eternals
Matthew Feltham,Daughters of Khaine
Ben Raven,Blades of Khorne
Andy Bryan,Skaventide
Piotr Kurkowski,Daughters of Khaine
Rob Bradley,Skaventide
Patric Frowein,Fyreslayers
James Chalmers,Gloomspite Gitz
Karl Breakspear,Fyreslayers
Julien Duvoux,Skaventide
Jack Mayland,Beasts of Chaos
Ross Edwards,Maggotkin of Nurgle
Matthew Walker,Hedonites of Slaanesh
Lars Hellwig,Beastclaw Raiders
James Grant,Stormcast Eternals
Bjorn Malmborg,Free Peoples
Tom Fretwell,Flesh Eater Courts
Ciaran Smyth,Maggotkin of Nurgle
Daniel Scott,Daughters of Khaine
John Williams,Blades of Khorne
Joe Jackson,Sylvaneth
Jack McQuiggin,Seraphon
Craig Chesters,Daughters of Khaine
Darren Phipps,Flesh Eater Courts
Owen Jackson,Sylvaneth
Ethan Leach,Fyreslayers
Martin Swaffield,Disciples of Tzeentch
Will Rose,Tomb Kings
Matthew Pardoe,Blades of Khorne
Travis Kelly,Fyreslayers
Declan Waters,Gloomspite Gitz
Emyr Rice,Skaventide
William Barton,Stormcast Eternals
Jason Hodgekinson,Ironjawz
Ceri Robson,Gloomspite Gitz
Player,Ironjawz
Tim Holbrook,Gloomspite Gitz
Dan Bradshaw,Idoneth Deepkin
David Ellis,Ironjawz
Thomas Waller,Stormcast Eternals
Daniel Asensio,Gloomspite Gitz
Les Martin,Fyreslayers
Pete Bradley,Death
Ben Bailey,Seraphon
