NEW_EVENT_TAG,Age of Sigmar Team Championships,18 May 2019,5
Les Martin,Idoneth Deepkin
Tom Mawdsley,Skaventide
Mike Newman,Kharadron Overlords
Ben Curry,Daughters of Khaine
Paul Given,Disciples of Tzeentch
Phil Walter,Flesh Eater Courts
Dave King,Legions of Nagash
Gareth Wynn,Maggotkin of Nurgle
Paul Buckler,Seraphon
Richard Morley,Gloomspite Gitz
Michael Wilson,Hedonites of Slaanesh
Richard Buckler,Daughters of Khaine
Chris Hallam,Seraphon
Chris Ashworth,Hedonites of Slaanesh
Marc Davies,Idoneth Deepkin
Michael Cooper,Gloomspite Gitz
Jes Bickham,Gloomspite Gitz
Ben Johnson,Gloomspite Gitz
Nick Horth,Gloomspite Gitz
Erik Niemz,Gloomspite Gitz
Ben Clayton,Seraphon
Dean McGunigall,Stormcast Eternals
Martin Scandling,Legions of Nagash
Matt Scarrott,Flesh Eater Courts
Daniel Pattenden,UNKNOWN_ARMY
Melanie Pattenden,UNKNOWN_ARMY
James Marsden,UNKNOWN_ARMY
Liam Worswick,UNKNOWN_ARMY
Dean Lymath,Stormcast Eternals
Ed Illsley,Daughters of Khaine
Will Rose,Tomb Kings
James Woodward,Legions of Nagash
Rachel Marsh,Seraphon
Kim Dreamer,Sylvaneth
Player,Legions of Nagash
Sophie Williams,Hedonites of Slaanesh
Jamie White,Blades of Khorne
Steven Johnston,Legions of Nagash
Chris Coles,Gloomspite Gitz
Matthew Austen,Flesh Eater Courts
Graeme Purcifer,UNKNOWN_ARMY
Ian Marley,UNKNOWN_ARMY
Player,UNKNOWN_ARMY
Will Spencer,Ironjawz
Jack Masters,Beastclaw Raiders
Dave Glaysher,Ironjawz
Matt Robinson,Destruction
Alex Piper,Gloomspite Gitz
Player,Skaventide
Player,Ironjawz
Hamid Khabbazan,Free Peoples
Player,Nighthaunt
Chris White,Disciples of Tzeentch
Sam Guy,Beastclaw Raiders
Steve Wren,Beasts of Chaos
Tim Davis,Gloomspite Gitz
