NEW_EVENT_TAG,BOBO,28 Jul 2018,5
Jack Armstrong,Stormcast Eternals
Daniel Ford,Blades of Khorne
Peter Humpage,Order Draconis
Benjamin Savva,Daughters of Khaine
Daniel Scott,Daughters of Khaine
Gary Percival,Idoneth Deepkin
Darren Watson,Maggotkin of Nurgle
Richard Arnolds,Fyreslayers
Tony Moore,Daughters of Khaine
James Williams,Ironjawz
Adam Cunis,Order Draconis
Louis Medows,Stormcast Eternals
Donal Taylor,Moonclan
Tom Fretwell,Sylvaneth
Adam Hazelwood,Nighthaunt
Balal Zafar,Idoneth Deepkin
Luke Whitehead,Flesh Eater Courts
Rob Nixon,Clan Skryre
William Barton,Stormcast Eternals
Steve Curtis,Legion of Night
Simon Eccles,Legion of Night
Andy Hughes,Sylvaneth
Mark Wildman,Legion of Night
Tom Parry,Stormcast Eternals
Craig Namvar,Sylvaneth
Paul Haley,Daughters of Khaine
Robert Sedgeman,Bonesplitterz
Matthew Croad,Chaos
Tim Fisher,Daughters of Khaine
Nigel Bartlett,Legion of Night
Ian Spink,Bonesplitterz
Mike Thomas,Legion of Night
Jonas Paro,Legion of Night
Adrian McWalter,Chaos
Simon Froley,Daughters of Khaine
Tom Bell,Ironjawz
Player,Nighthaunt
Carl Martin,Seraphon
Adrian Thompson,Warherds
James Boots,Hosts of Slaanesh
Sean McKechnie,Legion of Azgorh
Stuart Hodges,Legion of Night
Nigel Chorlton,Disciples of Tzeentch
James Hayday,Stormcast Eternals
Tim Holbrook,Destruction
Keith Ball,Legion of Night
James Powell,Stormcast Eternals
Alex Bruce,Order
James Bedford,Blades of Khorne
Matt Shepperson,Beastclaw Raiders
Sam Watson,Legion of Night
Craig Carlton,Disciples of Tzeentch
Paul Whitehead,Beastclaw Raiders
George Newbould,Beastclaw Raiders
Marc Wilson,Chaos
Rob Noyes,Stormcast Eternals
Gareth Ravenscroft,Blades of Khorne
Gareth Hughes,Stormcast Eternals
Reece West,Stormcast Eternals
Laurie H,Sylvaneth
Christian Martinsson,Nighthaunt
Marc Brookes,Maggotkin of Nurgle
Nick Thompson,Moonclan
James Thompson,Sylvaneth
Richard Wilson,Maggotkin of Nurgle
Tim Unwin,Free Peoples
Omar Valero,Stormcast Eternals
Jack Spencer,Legion of Night
Lee Bromley,Seraphon
William Morris,Sylvaneth
Nick Peart,Destruction
John Greene,Order
Lindon Wedgewood,UNKNOWN_ARMY
Adam Calver,Stormcast Eternals
James Moore,Free Peoples
Tom Fildes,Kharadron Overlords
Chris White,Beastclaw Raiders
Simon Bradbury,Chaos
Miles Hewitt,Hosts of Slaanesh
Nick Pratt,Beastclaw Raiders
Simon Partridge,Free Peoples
Gareth Holmes,Stormcast Eternals
Ben Booker,Chaos
Graham Dane,Clan Pestilens
Player,Blades of Khorne
Colin Mather,Hosts of Slaanesh
