NEW_EVENT_TAG,Blood Death and Vengeance IV,26 May 2018,3
Matt Lyons,Disciples of Tzeentch
John Thompson,UNKNOWN_ARMY
Richard Morley,UNKNOWN_ARMY
Mark Paddon,Seraphon
Tom Matthews,UNKNOWN_ARMY
Jason Smith,UNKNOWN_ARMY
Steve Curtis,UNKNOWN_ARMY
Paul Petford,UNKNOWN_ARMY
Marcus Gill,Stormcast Eternals
Tim Bussell,UNKNOWN_ARMY
Steven Phillips,UNKNOWN_ARMY
Michael Wilson,UNKNOWN_ARMY
Billy Ernest,Maggotkin of Nurgle
Ethan Leach,Wanderers
Spencer Talbot,UNKNOWN_ARMY
Jenny Lyons,Stormcast Eternals
Matthew Arnold,Wanderers
Lewis Fitzgerald,Ironjawz
Dave Olorenshaw,Free Peoples
Dave Perks,Sylvaneth
Ben Smith,UNKNOWN_ARMY
James Eveleigh,UNKNOWN_ARMY
Paul Buckler,UNKNOWN_ARMY
James McPherson,Maggotkin of Nurgle
Chris Tomlin,Flesh Eater Courts
Reuben Beard,Order
