NEW_EVENT_TAG,Descent of the Faithful,25 Jan 2020,5
Eric Hoerger,Big Waaagh
Jack Mayland,Disciples of Tzeentch
Aaron Walters,Ossiarch Bonereapers
Daniel Scott,Kharadron Overlords
Mike Thomas,Mawtribes
Jamie White,Cities of Sigmar
Daniel Biddle,Fyreslayers
Nick Pilgrim,Ossiarch Bonereapers
David Allan,Sylvaneth
Mike Wilding,Cities of Sigmar
Andy Brown,Nighthaunt
Anthony Boulton,Hedonites of Slaanesh
Anthony Poole,Nighthaunt
Kyle Aspinall,Ossiarch Bonereapers
Steven Henderson,Ossiarch Bonereapers
James Beeden,Seraphon
Andy Bryan,Mawtribes
Gareth Cosby,Blades of Khorne
Rhys Bradshaw,Ironjawz
Jason Hodgekinson,Ironjawz
Jason Stanyer,Cities of Sigmar
Gareth Ravenscroft,Flesh Eater Courts
Ceri Robson,Nighthaunt
Lee Downes,Stormcast Eternals
Alex Tooth,Stormcast Eternals
Mathew Crowther,Slaves to Darkness
Tim Unwin,Cities of Sigmar
Mark Pinnington,Sylvaneth
Peter Thomas McEwen,Stormcast Eternals
Matt Cooke,Disciples of Tzeentch
Alex Johnson,Gloomspite Gitz
Harry Holdsworth,Sylvaneth
