NEW_EVENT_TAG,Element Games Grand Slam,29 Jul 2017,5
Nicky Myland,Bonesplitterz
Ellis Priestley,Kharadron Overlords
Chris Welfare,Stormcast Eternals
Tony Moore,Disciples of Tzeentch
Liam Cook,Sylvaneth
Darran Palmer,Destruction
Les Martin,Stormcast Eternals
Byron Orde,Order
Russ Veal,Kharadron Overlords
Terry Pike,Chaos
Chris Green,Kharadron Overlords
Matt Robertson,Blades of Khorne
Chris Tomlin,Ironjawz
Daniel Brewer,Chaos
Mark Wildman,Disciples of Tzeentch
Paul Haley,Destruction
Dan Mitchell,Moonclan
Andy Talbot,Stormcast Eternals
Shaun Lang,Destruction
Thomas Kemp,Stormcast Eternals
Kane Holloway,Beastclaw Raiders
Tom Hewitt,Stormcast Eternals
Sam Davies,Stormcast Eternals
Adam Turner,Nighthaunt
Em Durrant,Sylvaneth
Matthew Tullock,Chaos
Sam Watson,Death
Adam Rawson,Sylvaneth
David Allan,Sylvaneth
Tom McTimoney,Blades of Khorne
Craig Carlton,Chaos
Gary Hennessey,Destruction
Matthew Haggett,Order
Nigel Chorlton,Order
