NEW_EVENT_TAG,Fast ,23 Oct 2016,5
Ben Johnson,Death
Dan Quirk,Order
Jonny Statham,Death
Martin David Hall,Death
Darran Palmer,Destruction
Pete Foley,Destruction
Edward Bennett,Order
Adam Turner,Chaos
Alex Ley,Chaos
Peter Dawes,Destruction
Robert Crouchley,Death
Jayson Franklin,Chaos
Richard Wilkie,Order
Tony Moore,Death
Nigel Chorlton,Death
Joe Grimwade,Order
Adam Cunis,Order
Lee Madeley,Order
Jon Green,Order
Arthur Treitl,Death
Martin Morrin,Destruction
Owyn Abram,Chaos
Joe Purcell,Chaos
Bart Janicki,Chaos
Matthew Hinton,Destruction
Ric Ellis,Order
Paul Graham,Order
Nicki Lloyd,Destruction
