NEW_EVENT_TAG,Firestorm Fours,20 Feb 2016,5
Russ Veal,Warriors of Chaos
Terry Pike,Daemons of Chaos
Les Martin,Stormcast Eternals
Byron Orde,High Elves
Daniel Ford,Tomb Kings
Rob Perrin,Daemons of Chaos
James Perrin,Warriors of Chaos
William Morris,Lizardmen
Tony Moore,Vampire Counts
Tom Mawdsley,Lizardmen
Nigel Chorlton,Skaven
Darran Palmer,Daemons of Chaos
Kieran Harper,Orcs 
Carl Smith,Empire
Liam Cook,Skaven
Johnathon Pano Kyprianidis,Warriors of Chaos
Russ Ward,Daemons of Chaos
Slawek Sasula,Ogre Kingdoms
Michael Browning,High Elves
Mark Caseley,Tomb Kings
Adam Cunis,Wood Elves
Matthew Hinton,Orcs 
George Newbould,Ogre Kingdoms
Joe Purcell,Vampire Counts
Rufio Symes,Wood Elves
Robert Crouchley,Vampire Counts
Nathan Prescott,Orcs 
Nicholas Ruesink,Skaven
Mark Mitzman,Ogre Kingdoms
Dave Arnell,Warriors of Chaos
Jimbo Warth,Lizardmen
Matthew Evans,High Elves
Chris Appleford,High Elves
Adam Elford,Warriors of Chaos
Patrick O'Sullivan,Stormcast Eternals
Neil Peckett,Skaven
Balal Zafar,Wood Elves
Mike Porter,Dark Elves
Marcus Crawley,Vampire Counts
John Harrison,Ogre Kingdoms
Owyn Abram,Vampire Counts
Ian Phillips,Lizardmen
Alex Ley,Skaven
Dan Mitchell,Orcs 
