NEW_EVENT_TAG,GT Final,14 Oct 2018,6
Benjamin Savva,Daughters of Khaine
Robert Sedgeman,Nighthaunt
Terry Pike,Maggotkin of Nurgle
Gary Percival,Stormcast Eternals
Steve Curtis,Legions of Nagash
Nick Thompson,Daughters of Khaine
Chris Myhill,Order
Dan Bradshaw,Idoneth Deepkin
Tony Moore,Legions of Nagash
Colin Cochrane,Daughters of Khaine
Ritchie McAlley,Sylvaneth
Russ Veal,Blades of Khorne
Andy Hughes,Legion of Azgorh
Richard Arnolds,Legions of Nagash
Ian Spink,Bonesplitterz
Simon Eccles,Legions of Nagash
Matthew Castle,Daughters of Khaine
Paul Buckler,Stormcast Eternals
Rob Symes,Legion of Azgorh
Craig Chesters,Daughters of Khaine
James Tinsdale,Idoneth Deepkin
Shaun Lang,Legions of Nagash
Simon Froley,Daughters of Khaine
Adam Riley,Stormcast Eternals
Darren Watson,Blades of Khorne
Sam Loving,Stormcast Eternals
Michael Wilson,Hosts of Slaanesh
Carl Martin,Seraphon
Andy Bryan,Stormcast Eternals
Craig Namvar,Sylvaneth
Adrian McWalter,Chaos
Alex Bruce,Order
Nigel Chorlton,Sylvaneth
Chris McConville,Daughters of Khaine
Tom Parry,Stormcast Eternals
Sam Saunders,Chaos
Andy Scott,Legions of Nagash
Ric Myhill,Beasts of Chaos
Oscar Knutsson,Stormcast Eternals
Chris Hibbins,Sylvaneth
Kevin Pedrick,Daughters of Khaine
Hugh Halligan,Free Peoples
Nicholas Ruesink,Maggotkin of Nurgle
Daniel Ford,Blades of Khorne
Steve Dooley,Darkling Covens
Frank Straw,Blades of Khorne
James Williams,Disciples of Tzeentch
Sal Bellomo,Stormcast Eternals
Andrea Beda,Seraphon
Tom Merker,Hosts of Slaanesh
Byron Orde,Order
Rob Hull,Legions of Nagash
Anthony Lewis,Legions of Nagash
Matthew Gouldesbrough,Seraphon
Matt Lyons,Disciples of Tzeentch
Janos Szaniszlo,Daughters of Khaine
Chris Mills,Maggotkin of Nurgle
Ben Baugh,Stormcast Eternals
Richard Morley,Legions of Nagash
Larbi Benyounes,Maggotkin of Nurgle
Joel Smith,Maggotkin of Nurgle
Alex Jones,Ironjawz
Andy Wood,Nighthaunt
Steve Wren,Disciples of Tzeentch
Lee Kay,Maggotkin of Nurgle
Balal Zafar,Idoneth Deepkin
Joshua Richards,Darkling Covens
Rob Bradley,Maggotkin of Nurgle
Declan Waters,Destruction
Jack Spencer,Flesh Eater Courts
Andrew Davies,Maggotkin of Nurgle
Matthew Arnold,Stormcast Eternals
Jack McQuiggin,Seraphon
