NEW_EVENT_TAG,Justice Series Autumn GT,19 Oct 2019,5
JP Stevens,Hedonites of Slaanesh
Neil Montgomery,Hedonites of Slaanesh
Eric Hoerger,Orruk Warclans
Colin Cochrane,Fyreslayers
Ian Spink,Orruk Warclans
Matt Robertson,Disciples of Tzeentch
Mike Wilding,Hedonites of Slaanesh
Ben Baugh,Stormcast Eternals
Gabe Huddlestone,Orruk Warclans
Aiden Clieve,Orruk Warclans
Andy Brown,Nighthaunt
Thomas Waller,Flesh Eater Courts
Stephen Mitchell,Flesh Eater Courts
Tony Moore,Legions of Nagash
Will Spencer,Flesh Eater Courts
Jack Westaway,Beasts of Chaos
Micheal Bennett,Blades of Khorne
Travis Kelly,Fyreslayers
Gary Bullha,Maggotkin of Nurgle
Chris Archibald,Idoneth Deepkin
Chris Carroll,Skaventide
Tom Lees,Gloomspite Gitz
Luke Power,Sylvaneth
David Thompson,Sylvaneth
Matt McDonnell,Legions of Nagash
Chris Nellis,Fyreslayers
Sam Watson,Legions of Nagash
Dylan Usher,Hedonites of Slaanesh
Vitto Manetti,Idoneth Deepkin
Rhys Hallet,Nighthaunt
Luke Evans,Legions of Nagash
Jack Maiden,Gloomspite Gitz
Stuart Millar,Orruk Warclans
Andy Lampkin,Gloomspite Gitz
Raja Brothwood,Cities of Sigmar
Will Hopwood,Daughters of Khaine
Andy Campbell,Legions of Nagash
