NEW_EVENT_TAG,Justice Series VI,11 Feb 2018,3
Jack Westaway,Destruction
Tony Moore,Legions of Nagash
Ritchie McAlley,Kharadron Overlords
Nigel Chorlton,Disciples of Tzeentch
Raja Brothwood,Blades of Khorne
Alex Cockburn,Legions of Nagash
James Tinsdale,Kharadron Overlords
Ric Ellis,Stormcast Eternals
Craig Carlton,Blades of Khorne
Jack Maiden,Maggotkin of Nurgle
Nathan Foster,Bonesplitterz
Tom Lees,Ironjawz
Sam Watson,Legions of Nagash
Stephen Prescott,Stormcast Eternals
Tom Fildes,Dispossessed
Ronnie Dodd,Sylvaneth
