NEW_EVENT_TAG,London GT AoS Championship,19 May 2018,5
Darren Watson,Maggotkin of Nurgle
Maxime Julian,Maggotkin of Nurgle
Daniel Ford,Chaos
Jack Armstrong,Seraphon
Arkadiusz Marsza_ek,Fyreslayers
Craig Namvar,Disciples of Tzeentch
Matthew Hinton,Idoneth Deepkin
Christopher Nobbs,Legion of Night
Donal Taylor,Moonclan
Ritchie McAlley,Kharadron Overlords
Simon Froley,Daughters of Khaine
Ben Murphy,Order
Laurie H,Daughters of Khaine
Ben Mardle,Kharadron Overlords
Alex Clark,Legion of Night
Michal Kovanda,Disciples of Tzeentch
Tomasz Strzezyk,Seraphon
Arthur Voulgaris,Legion of Sacrement
Shane Ford,Order
Adam Uhl,Stormcast Eternals
Daniel Harston,Grand Host of Nagash
Ellis Priestley,Legion of Night
Marc Wilson,Chaos
Richard Arnolds,Fyreslayers
Simon Weakley,Destruction
Chris Green,Kharadron Overlords
Adam Cunis,Order
James Grant,Seraphon
Jan Polak,Bonesplitterz
Janos Szaniszlo,Stormcast Eternals
Thomas Hamilton,Disciples of Tzeentch
Leo Rautomen,Kharadron Overlords
James Warth,Sylvaneth
Colin Cochrane,Order
Danny Carroll,Stormcast Eternals
Kim Ror Bergene,Disciples of Tzeentch
Paul Berridge,Kharadron Overlords
Nicky Myland,Bonesplitterz
Paul Rollason,Blades of Khorne
Nathan Foster,Bonesplitterz
Matthew Price,Stormcast Eternals
Adam Mumford,Maggotkin of Nurgle
Tim Holbrook,Destruction
Iain Lobb,Stormcast Eternals
Chris Thursten,Disciples of Tzeentch
Dave Busse,Maggotkin of Nurgle
Ben Harrow,Stormcast Eternals
Kieron Allender,Grand Host of Nagash
Matt Gherardi,Kharadron Overlords
Matthew Preater,Ironjawz
Joseph Carr,Legion of Sacrement
Charles Jamieson,Blades of Khorne
Andy Toben,Disciples of Tzeentch
Matt Dawson,Order
Anthony Lewis,Grand Host of Nagash
Richard Fitzmaurice,Nighthaunt
Arran Folly,Ironjawz
Ian Stanford,Beastclaw Raiders
Jack Spencer,Flesh Eater Courts
Chris Nielson,Disciples of Tzeentch
Tony Aldridge,Order
Hugh Wyeth,Maggotkin of Nurgle
Matthew Sheret,Sylvaneth
Richard Taylor,Beastclaw Raiders
Dan Barwick,Ironjawz
Sam Freeman,Legion of Night
