NEW_EVENT_TAG,London Grand Tournament,15 Sep 2019,5
Piotr Kurkowski,Daughters of Khaine
Darren Watson,Disciples of Tzeentch
Philipp Kartaev,Fyreslayers
Jack Armstrong,Skaventide
Thomas Lemoine,Flesh Eater Courts
Ben Murphy,Grand Host of Nagash
Adam Mumford,Idoneth Deepkin
Vincent Chan,Blades of Khorne
Francois Mercier,Fyreslayers
Steve Curtis,Flesh Eater Courts
Leo Rautomen,Ironjawz
Dave Glaysher,Hedonites of Slaanesh
Mark Curtis,Sylvaneth
Teck Loy,Idoneth Deepkin
Craig Namvar,Disciples of Tzeentch
Colin Cochrane,Fyreslayers
Chris Francis,Sylvaneth
Sam Loving,Stormcast Eternals
Simon Froley,Daughters of Khaine
Ollie Fox,Skaventide
Ben Mardle,Hedonites of Slaanesh
Matthew Gouldesbrough,Seraphon
James Wilson,Sylvaneth
Benjamin Savva,Skaventide
Sebastian Del Monte,Hedonites of Slaanesh
Max Barton,Blades of Khorne
Johnny Armstrong,Skaventide
Jiwan Noah Singh,Skaventide
Adam Cunis,Order
Sam Saunders,Stormcast Eternals
James Grant,Stormcast Eternals
Ralph Hughes,Greywater Fastness
Obaid Bin,Stormcast Eternals
Matthew Ward,Legion of Grief
James Warth,Stormcast Eternals
Shane Ford,Beasts of Chaos
Laurie H,Sylvaneth
Charles Hollom,Beasts of Chaos
Hugh Halligan,Free Peoples
Samuel Sinclair,Free Peoples
Chris Hibbins,Sylvaneth
Paul Berridge,Flesh Eater Courts
Balal Zafar,Wanderers
Ben Raven,Blades of Khorne
Owen Jackson,Sylvaneth
Daniel White,Skaventide
Ming Lee,Gloomspite Gitz
Simon Cobb,Ironjawz
Dan George,Blades of Khorne
Joseph Carr,Legion of Sacrement
Janos Szaniszlo,Ironjawz
Nicholas Ruesink,Fyreslayers
Lee Whitely,Blades of Khorne
Dave Carter,Legion of Grief
Richard Nutter,Nighthaunt
James Houston,Skaventide
Sebastian Sjostrom,Grand Host of Nagash
Wil Johnson,Blades of Khorne
Thomas Hamilton,Blades of Khorne
Daniel Harston,Flesh Eater Courts
Chris Thursten,Disciples of Tzeentch
Daniil Osudin,Disciples of Tzeentch
Darron Styles,Seraphon
Andy Hall,Kharadron Overlords
Alexander Ford,Disciples of Tzeentch
Maxime Julian,Maggotkin of Nurgle
Scott Baker,Blades of Khorne
Freddie Leggett,Beasts of Chaos
Kyle Staton,Hedonites of Slaanesh
Angus Brain,Order
Jonathan Gregory,Stormcast Eternals
Charles Sealey,Blades of Khorne
Ryan Muza,Stormcast Eternals
George Stone,Legion of Blood
Sam Freeman,Grand Host of Nagash
Mark Mitzman,Gloomspite Gitz
Gabriele Sosso,Nighthaunt
