NEW_EVENT_TAG,Rain of Stars,6 Aug 2016,3
Gary Hennessey,Death
Aaron Bailey,Order
Russ Veal,Chaos
Bryan Carmichael,Chaos
Ricky Mee,Destruction
Matt Lyons,Chaos
Les Martin,Order
Dave Roberts,Order
Ben Chalk,Destruction
Terry Pike,Chaos
Patrick O'Sullivan,Destruction
Matt Clarke,Order
David Fulbrook,Death
Nicholas Ruesink,Destruction
Karl Breakspear,Death
Jon Jones,Death
Sam Davies,Order
Patrick Rance,Order
Paul Buckler,Chaos
Andy Talbot,Order
Elliot O'Neil,Order
Steve Foote,Order
Dominic Hook,Chaos
Marc Wilson,Order
Chris Lewis,Destruction
Steve Hursell,Destruction
Laurie H,Chaos
Donal Taylor,Destruction
Ian Crook,Destruction
Adam Elford,Chaos
Declan Waters,Destruction
Tom Hewitt,Chaos
