NEW_EVENT_TAG,Realm Wars Wednesbury,29 Sep 2019,5
Miles Hewitt,Skaventide
Declan McKitrich,Blades of Khorne
Daniel Scott,Blades of Khorne
Tom Parry,Stormcast Eternals
Tom Bell,Ironjawz
Matt Hammond,Sylvaneth
James Williams,Ironjawz
Seb Donley,Idoneth Deepkin
Jonny Statham,Skaventide
Lee Bromley,Ironjawz
Michael Cook,Ironjawz
Frank Straw,Dispossessed
Kevin Chandler,Sylvaneth
Sam Vaughan,Ironjawz
Stuart Hodges,Gloomspite Gitz
Scott Harmon,Gutbusters
Steve Dooley,Darkling Covens
Nick Thompson,Gloomspite Gitz
Reece West,Stormcast Eternals
Andrew Hodges,Nighthaunt
Nigel Bartlett,Gutbusters
Jon Green,Stormcast Eternals
Peter Michaels,Idoneth Deepkin
Jamie Muscroft,Gloomspite Gitz
Will Ward,Bonesplitterz
Keith Baggott,Free Peoples
Gareth Parfitt,Gloomspite Gitz
James Thompson,Sylvaneth
