NEW_EVENT_TAG,Sheffield Slaughter,6 Feb 2016,5
Ben Johnson,Order
Darran Palmer,Chaos
Terry Pike,Chaos
Russ Veal,Chaos
Luke Mchugh,Chaos
Les Martin,Order
Tony Moore,Death
Ben Curry,Chaos
Owyn Abram,Death
Mark Wildman,Order
Josh Meads,Order
Stewart Callander,Order
Nigel Chorlton,Chaos
Paul Whitehead,Destruction
Pash Korniyenko,Chaos
Adam Rawson,Death
Luke Whitehead,Chaos
Marc Wilson,Order
Michael Browning,Death
Russ Ward,Chaos
Tom Mawdsley,Order
Matt Harper,Chaos
Christian White,Destruction
Rupert Read,Order
Pete Scholey,Order
Neil Peckett,Chaos
