NEW_EVENT_TAG,Spirits Gods and Men,27 Jan 2019,3
Tom Roberts,Blades of Khorne
Toby Meadows,Stormcast Eternals
Louis Medows,Stormcast Eternals
Ross Mason,Nighthaunt
Dan Buchanan,Idoneth Deepkin
Tom May,Ironjawz
Izaak Garner,Gloomspite Gitz
Robert Ayres,Blades of Khorne
Matthew Bennett,Legions of Nagash
Chris Fereday,Daughters of Khaine
Bill Taylor,Dispossessed
Lindon Wedgewood,Gloomspite Gitz
Charlie Foyster,Ironjawz
Thomas Blaxall,Gloomspite Gitz
Duncan Woods,Seraphon
Liam Albert,Stormcast Eternals
