NEW_EVENT_TAG,Storm Over Stirling,7 Apr 2018,3
Donald Mccallum,Stormcast Eternals
David Nemeth,Disciples of Tzeentch
Liam Watts,Maggotkin of Nurgle
Graham Duffy,Moonclan
Adam Martin,Maggotkin of Nurgle
Leigh Martin,Daughters of Khaine
Aaron Jack,Grand Host of Nagash
Iain Hunter,Chaos
Aaron Young,Chaos
Krzysiek Witkowski,Sylvaneth
Karol Koman,Grand Host of Nagash
Liam Wallace,Kharadron Overlords
Angus Fairholm,Stormcast Eternals
John Young,Grand Host of Nagash
Ross Joyce,Bonesplitterz
Ryan Kerr,Sylvaneth
Dave Ross,Grand Host of Nagash
John Harper,Stormcast Eternals
Andrew Hill,Dispossessed
Lewis Wilson,Destruction
John Craig,Destruction
Katalin Fekete,Stormcast Eternals
Vasileios Dionysopoulos,Blades of Khorne
Paul Brooks,Maggotkin of Nurgle
