NEW_EVENT_TAG,Tempest Crusade,20 Jan 2018,5
John Bayliss,Disciples of Tzeentch
Liam Watts,Fyreslayers
Niall Campbell,Death
Krzysiek Witkowski ,Sylvaneth
Stuart West,Death
Nathan Watson,Disciples of Tzeentch
Craig Graham,Stormcast Eternals
Adam Turner,Stormcast Eternals
Adam Rawson,Sylvaneth
Lucas Wdowiak,Seraphon
Lyndon Sinclair,Beastclaw Raiders
John Craig,Destruction
Graham Duffy,Destruction
Ross Joyce,Bonesplitterz
David Nemeth,Clan Skryre
Michael Hanns,Maggotkin of Nurgle
Greig Summers,Slaves to Darkness
Paul Whitehead,Stormcast Eternals
Paul di Duca,Clan Skryre
John Harper,Stormcast Eternals
Sean McKechnie,Destruction
Iain Hunter,Chaos
Jonathan Forde,Stormcast Eternals
Graeme Davidson,Order
Trev Moffat,Stormcast Eternals
Katalin Fekete,Beastclaw Raiders
Steve McCormick,Beastclaw Raiders
Erik Bews,Blades of Khorne
Phil King,Ironjawz
Will Pollock,Chaos
