1,Ric Myhill,Beasts of Chaos,+50.0
2,Gary Percival,Kharadron Overlords,+48.1
3,Ritchie McAlley,Gloomspite Gitz,+47.3
4,Tom Parry,Stormcast Eternals,+47.2
5,Darren Watson,Maggotkin of Nurgle,+46.4
6,Terry Pike,Maggotkin of Nurgle,+46.0
7,Martin Morrin,Blades of Khorne,+45.8
8,Mark Wildman,Blades of Khorne,+45.2
9,Leo Rautomen,Ironjawz,+45.0
10,Chris Caves Jr,Disciples of Tzeentch,+43.7
11,Will Rose,Tomb Kings,+42.8
12,Dave Robinson,Flesh Eater Courts,+40.6
13,Sam Loving,Stormcast Eternals,+39.6
14,Ellis Priestley,Fyreslayers,+39.4
15,Giannis Sourtzis,Seraphon,+39.2
16,Andy Brown,Nighthaunt,+39.0
17,Liam Jordan,Nighthaunt,+39.0
18,James Ganis,Flesh Eater Courts,+38.5
19,Chris Myhill,Order,+38.1
20,James Chalmers,Gloomspite Gitz,+38.1
21,John Bayliss,Blades of Khorne,+37.7
22,Mike Callaghan,Stormcast Eternals,+36.5
23,Richard Arnolds,UNKNOWN_ARMY,+36.4
24,Benjamin Savva,Bonesplitterz,+36.4
25,Tom Mawdsley,Skaventide,+35.5
26,George Newbould,Gloomspite Gitz,+34.6
27,Joe Clark,Flesh Eater Courts,+34.1
28,James Tinsdale,Idoneth Deepkin,+33.1
29,Sam Saunders,Maggotkin of Nurgle,+32.9
30,Alex Bruce,Order,+32.2
31,Richard Buckler,Blades of Khorne,+31.8
32,Leigh Martin,Hedonites of Slaanesh,+31.5
33,Mike Newman,Kharadron Overlords,+31.5
34,Liam Cook,Idoneth Deepkin,+31.3
35,Ben Johnson,Gloomspite Gitz,+31.2
36,George Moudatsos,Beasts of Chaos,+31.2
37,Michael Wendel,Mawtribes,+31.1
38,Alex Kew,Stormcast Eternals,+31.1
39,George Vathipoulias,Idoneth Deepkin,+30.8
40,Ben Curry,Daughters of Khaine,+30.7
41,Jack Armstrong,Daughters of Khaine,+30.6
42,Matthew Feltham,Daughters of Khaine,+30.6
43,Russ Veal,Blades of Khorne,+30.3
44,Laurie H,Sylvaneth,+30.1
45,John Craig,Maggotkin of Nurgle,+29.9
46,Andy Hughes,Legion of Sacrement,+29.6
47,Michael Stewart,Fyreslayers,+29.6
48,Stephen Mitchell,Flesh Eater Courts,+29.5
49,Matthew Gouldesbrough,Seraphon,+29.3
50,Bryan Carmichael,Hedonites of Slaanesh,+29.3
51,Daniel Ford,Skaventide,+29.0
52,Byron Orde,Bonesplitterz,+28.6
53,Michael Brough,Skaventide,+28.5
54,Tony Moore,Flesh Eater Courts,+28.4
55,Liam Watts,Hedonites of Slaanesh,+28.3
56,Dan Mitchell,Seraphon,+28.2
57,Toby Meadows,Skaven,+27.6
58,Anthony Boulton,Hedonites of Slaanesh,+27.6
59,David Kane,Kharadron Overlords,+27.6
60,Karl Breakspear,Nighthaunt,+27.2
61,Donal Taylor,Gloomspite Gitz,+27.2
62,Ricky Mee,Skaven,+26.7
63,Craig Namvar,Disciples of Tzeentch,+25.4
64,James Boots,Blades of Khorne,+25.0
65,Rob Symes,Legion of Azgorh,+24.5
66,Steve Curtis,Flesh Eater Courts,+24.2
67,John Burgess,Blades of Khorne,+24.2
68,David Nemeth,Disciples of Tzeentch,+24.0
69,Matt Tinsdale,Stormcast Eternals,+23.8
70,Nathan Watson,Idoneth Deepkin,+23.7
71,Gareth Holmes,Stormcast Eternals,+23.6
72,Hugh Halligan,Free Peoples,+23.3
73,Michael Cook,UNKNOWN_ARMY,+23.1
74,Piotr Kurkowski,Daughters of Khaine,+23.0
75,Marc Brookes,Skaven,+23.0
76,Dan Bradshaw,Skaventide,+22.8
77,Ben Murphy,Grand Host of Nagash,+22.6
78,Ian Spink,Bonesplitterz,+22.5
79,Les Martin,Stormcast Eternals,+22.4
80,Daniil Osudin,Disciples of Tzeentch,+22.3
81,Frank Straw,UNKNOWN_ARMY,+22.2
82,Jj Cropley,Skaventide,+22.0
83,Rob Hull,Flesh Eater Courts,+21.7
84,Peter Humpage,Order Draconis,+21.5
85,Paul Buckler,Seraphon,+21.4
86,John Dale,Skaventide,+21.4
87,Ciaran Smyth,Maggotkin of Nurgle,+21.3
88,Stuart West,Sylvaneth,+21.3
89,Vincent Chan,Blades of Khorne,+21.0
90,David Jack,Stormcast Eternals,+20.9
91,Ralph Hughes,Cities of Sigmar,+20.8
92,Daniel Ryan,Skaventide,+20.4
93,Andy Bryan,Skaventide,+20.3
94,Rob Wright,Idoneth Deepkin,+20.3
95,Tom Blaxall,Gloomspite Gitz,+20.0
96,Martin Swaffield,Disciples of Tzeentch,+19.9
97,Richard Hudspith,Skaven,+19.6
98,Declan McKitrich,Blades of Khorne,+19.5
99,Thomas Lemoine,Flesh Eater Courts,+19.3
100,Eric Hoerger,Big Waaagh,+19.2
101,Martin Clarke,Flesh Eater Courts,+19.2
