NEW_EVENT_TAG,Age of Sigmar @ Call to Arms 2019,03-08-2019,5
Mitch Harty,-,5/0/0
Scott Paterson,-,4/1/0
Bo Paterson,-,4/0/1
Aiden Nicol,-,4/0/1
Tre Winika,-,4/0/1
Regan OHalloran,-,3/0/2
Sloane Dougherty,-,3/1/1
Shaun Tubman,-,3/0/2
Rohan Clark,-,3/0/2
Lee wilmot,-,3/0/2
Seth Cook,-,3/0/2
Ryan McIntyre,-,3/0/2
Matthew Britton,-,3/0/2
Kerry Melody,-,3/0/2
Mark Williams,-,3/0/2
Alex Sinclair,-,3/0/2
Sam Campbell,-,2/0/3
Shaun Bates,-,2/0/3
Cameron King,-,2/0/3
Tom Lay,-,2/0/3
Kyle Duncalf,-,2/0/3
Andrew Hodgson,-,2/0/3
Charlie Lloyd,-,2/0/3
Nick Stubbe,-,2/0/3
Michael Stewart,-,2/0/3
Seamus Clifton,-,2/0/3
Philip Cordy,-,1/0/4
Peter van Rooyen,-,1/0/4
Zane Birkett,-,1/0/4
Kenny Tasi,-,1/0/4
Jared Angus,-,1/0/4
Luke Burrough,-,0/0/5
Mitch Harty,Sloane Dougherty,Mitch Harty,Ryan McIntyre,Mitch Harty,Aiden Nicol,Mitch Harty,Peter van Rooyen,Mitch Harty,Seth Cook
Scott Paterson,Shaun Tubman,Sloane Dougherty,Scott Paterson,Scott Paterson,Bo Paterson,Scott Paterson,Alex Sinclair,Scott Paterson,Nick Stubbe
Bo Paterson,Matthew Britton,Bo Paterson,Shaun Bates,Scott Paterson,Bo Paterson,Bo Paterson,Tre Winika,Bo Paterson,Kenny Tasi
Aiden Nicol,Ryan McIntyre,Aiden Nicol,Seth Cook,Mitch Harty,Aiden Nicol,Aiden Nicol,Matthew Britton,Aiden Nicol,Kyle Duncalf
Tre Winika,Mark Williams,Tre Winika,Regan OHalloran,Tre Winika,Sam Campbell,Bo Paterson,Tre Winika,Tre Winika,Charlie Lloyd
Regan OHalloran,Shaun Bates,Tre Winika,Regan OHalloran,Regan OHalloran,Philip Cordy,Regan OHalloran,Luke Burrough,Andrew Hodgson,Regan OHalloran
Mitch Harty,Sloane Dougherty,Sloane Dougherty,Scott Paterson,Sloane Dougherty,Shaun Bates,Sloane Dougherty,Shaun Tubman,Sloane Dougherty,Cameron King
Scott Paterson,Shaun Tubman,Shaun Tubman,Andrew Hodgson,Shaun Tubman,Alex Sinclair,Sloane Dougherty,Shaun Tubman,Shaun Tubman,Rohan Clark
Rohan Clark,Andrew Hodgson,Rohan Clark,Philip Cordy,Rohan Clark,Tom Lay,Kyle Duncalf,Rohan Clark,Shaun Tubman,Rohan Clark
Lee wilmot,Cameron King,Lee wilmot,Peter van Rooyen,Lee wilmot,Luke Burrough,Seth Cook,Lee wilmot,Alex Sinclair,Lee wilmot
Seth Cook,Kyle Duncalf,Aiden Nicol,Seth Cook,Seth Cook,Peter van Rooyen,Seth Cook,Lee wilmot,Mitch Harty,Seth Cook
Aiden Nicol,Ryan McIntyre,Mitch Harty,Ryan McIntyre,Ryan McIntyre,Kerry Melody,Ryan McIntyre,Jared Angus,Ryan McIntyre,Tom Lay
Bo Paterson,Matthew Britton,Matthew Britton,Kerry Melody,Matthew Britton,Kyle Duncalf,Aiden Nicol,Matthew Britton,Matthew Britton,Luke Burrough
Kerry Melody,Nick Stubbe,Matthew Britton,Kerry Melody,Ryan McIntyre,Kerry Melody,Kerry Melody,Sam Campbell,Kerry Melody,Mark Williams
Tre Winika,Mark Williams,Mark Williams,Michael Stewart,Mark Williams,Charlie Lloyd,Mark Williams,Nick Stubbe,Kerry Melody,Mark Williams
Alex Sinclair,Michael Stewart,Alex Sinclair,Sam Campbell,Shaun Tubman,Alex Sinclair,Scott Paterson,Alex Sinclair,Alex Sinclair,Lee wilmot
Sam Campbell,Zane Birkett,Alex Sinclair,Sam Campbell,Tre Winika,Sam Campbell,Kerry Melody,Sam Campbell,Sam Campbell,Michael Stewart
Regan OHalloran,Shaun Bates,Bo Paterson,Shaun Bates,Sloane Dougherty,Shaun Bates,Shaun Bates,Andrew Hodgson,Shaun Bates,Seamus Clifton
Lee wilmot,Cameron King,Cameron King,Zane Birkett,Cameron King,Seamus Clifton,Philip Cordy,Cameron King,Sloane Dougherty,Cameron King
Tom Lay,Philip Cordy,Tom Lay,Luke Burrough,Rohan Clark,Tom Lay,Michael Stewart,Tom Lay,Ryan McIntyre,Tom Lay
Seth Cook,Kyle Duncalf,Kyle Duncalf,Charlie Lloyd,Matthew Britton,Kyle Duncalf,Kyle Duncalf,Rohan Clark,Aiden Nicol,Kyle Duncalf
Rohan Clark,Andrew Hodgson,Shaun Tubman,Andrew Hodgson,Andrew Hodgson,Zane Birkett,Shaun Bates,Andrew Hodgson,Andrew Hodgson,Regan OHalloran
Charlie Lloyd,Jared Angus,Kyle Duncalf,Charlie Lloyd,Mark Williams,Charlie Lloyd,Charlie Lloyd,Kenny Tasi,Tre Winika,Charlie Lloyd
Kerry Melody,Nick Stubbe,Nick Stubbe,Jared Angus,Nick Stubbe,Kenny Tasi,Mark Williams,Nick Stubbe,Scott Paterson,Nick Stubbe
Alex Sinclair,Michael Stewart,Mark Williams,Michael Stewart,Michael Stewart,Jared Angus,Michael Stewart,Tom Lay,Sam Campbell,Michael Stewart
Seamus Clifton,Peter van Rooyen,Seamus Clifton,Kenny Tasi,Cameron King,Seamus Clifton,Zane Birkett,Seamus Clifton,Shaun Bates,Seamus Clifton
Tom Lay,Philip Cordy,Rohan Clark,Philip Cordy,Regan OHalloran,Philip Cordy,Philip Cordy,Cameron King,Peter van Rooyen,Philip Cordy
Seamus Clifton,Peter van Rooyen,Lee wilmot,Peter van Rooyen,Seth Cook,Peter van Rooyen,Mitch Harty,Peter van Rooyen,Peter van Rooyen,Philip Cordy
Sam Campbell,Zane Birkett,Cameron King,Zane Birkett,Andrew Hodgson,Zane Birkett,Zane Birkett,Seamus Clifton,Jared Angus,Zane Birkett
