NEW_EVENT_TAG,Winter War 2019,16-11-2019,3
Leigh Martin,-,3/0/0
MATTR,-,3/0/0
Simon Fitzpatrick,-,3/0/0
Mike Callaghan,-,2/0/1
Phil McGuinness,-,2/0/1
Graeme Davidson,-,2/0/1
Mark Roberts,-,2/0/1
Andrew Stephen,-,1/0/2
Craig Graham,-,1/0/2
David Jack,-,1/0/2
Christian White,-,1/0/2
Nicholas Claisse,-,1/0/2
Chris maker,-,1/0/2
Aiden mckenna,-,1/0/2
Gary Stephen,-,0/0/3
Khaine Tully,-,0/0/3
Leigh Martin,Mike Callaghan,Leigh Martin,Graeme Davidson,Leigh Martin,Andrew Stephen
MATTR,Phil McGuinness,MATTR,David Jack,MATTR,Gary Stephen
Simon Fitzpatrick,Andrew Stephen,Simon Fitzpatrick,Craig Graham,Simon Fitzpatrick,Khaine Tully
Leigh Martin,Mike Callaghan,Mike Callaghan,Craig Graham,Mike Callaghan,Mark Roberts
MATTR,Phil McGuinness,Phil McGuinness,Christian White,Phil McGuinness,Nicholas Claisse
Graeme Davidson,Chris maker,Leigh Martin,Graeme Davidson,Graeme Davidson,Christian White
Mark Roberts,David Jack,Mark Roberts,Khaine Tully,Mike Callaghan,Mark Roberts
Simon Fitzpatrick,Andrew Stephen,Andrew Stephen,Aiden mckenna,Leigh Martin,Andrew Stephen
Simon Fitzpatrick,Craig Graham,Mike Callaghan,Craig Graham,Craig Graham,Aiden mckenna
Mark Roberts,David Jack,MATTR,David Jack,David Jack,Chris maker
Christian White,Khaine Tully,Phil McGuinness,Christian White,Graeme Davidson,Christian White
Nicholas Claisse,Gary Stephen,Aiden mckenna,Nicholas Claisse,Phil McGuinness,Nicholas Claisse
Graeme Davidson,Chris maker,Chris maker,Gary Stephen,David Jack,Chris maker
Andrew Stephen,Aiden mckenna,Aiden mckenna,Nicholas Claisse,Craig Graham,Aiden mckenna
Nicholas Claisse,Gary Stephen,Chris maker,Gary Stephen,MATTR,Gary Stephen
Christian White,Khaine Tully,Simon Fitzpatrick,Khaine Tully,Mark Roberts,Khaine Tully
