unit name,move,save,bravery,wounds,num boxes,keywords,num casts,meta,w1range,w1attacks,w1hit,w1wound,w1rend,w1damage,w2range,w2attacks,w2hit,w2wound,w2rend,w2damage,w3range,w3attacks,w3hit,w3wound,w3rend,w3damage,w4range,w4attacks,w4hit,w4wound,w4rend,w4damage
Aether-Khemist,4,4,7,5,2,"order,duardin,kharadron overlords,hero,skyfarer,marine,aether-khemist",0,1,9,10,4,4,2,1,1,2,4,4,,1,,,,,,,,,,,,
Aetheric-Navigator,4,3,7,5,3,"order,duardin,kharadron overlords,hero,skyfarer,marine,aetheric navigator",0,0,15,2,3,3,1,1,1,2,3,4,,1,,,,,,,,,,,,
Arkanaut Admiral,4,3,8,6,6,"order,duardin,kharadron overlords,hero,skyfarer,marine,arkanaut admiral",0,0,9,3,3,4,1,1,1,3,3,2,2,2,,,,,,,,,,,,
Arkanaut Company,4,4,6,1,2,"order,duardin,kharadron overlords,skyfarer,marine,arkanaut company",0,1,18,1,4,3,2,2,1,1,4,4,,1,,,,,,,,,,,,
Frigate,12,4,8,14,7,"order,duardin,kharadron overlords,war machine,sky vessel,arkanaut frigate",0,0,24,4,3,3,1,2,12,4,3,3,1,2,1,6,4,4,,1,,,,,,
Ironclad,10,3,8,18,7,"order,duardin,kharadron overlords,war machine,skyvessel,arkanaut ironclad",0,1,24,6,3,3,1,2,24,4,4,3,1,2,1,8,4,4,,1,,,,,,
Brokk,12,3,8,8,4,"order,duardin,kharadron overlords,barak-nar,hero,skyfarer,brokk grungsson",0,0,18,2,3,2,2,2,18,6,3,3,1,1,9,2,3,4,,1,1,4,3,2,2,2
Endrinmaster,4,4,7,6,3,"order,duardin,kharadron overlords,hero,skyfarer,marine,endrinmaster",0,0,9,1,3,2,1,2,1,3,3,3,1,2,,,,,,,,,,,,
Dirigible,12,3,8,8,4,"order,duardin,kharadron overlords,hero,skyfarer,endrinmaster",0,1,12,1,3,2,2,2,18,6,3,3,1,1,1,3,3,2,2,2,,,,,,
Riggers,12,4,7,2,7,"order,duardin,kharadron overlords,skyfarers,endrinriggers",0,1,24,1,4,3,3,2,1,1,3,2,2,2,,,,,,,,,,,,
Gunhauler,12,4,7,10,8,"order,duardin,kharadron overlords,war machine,skyvessel,grundstok gunhauler",0,0,24,1,3,2,2,2,12,2,3,4,1,1,1,4,4,4,,1,,,,,,
Thunderers,4,4,7,2,5,"order,duardin,kharadron overlords,skyfarer,marine,grundstok thunderers",0,0,18,2,3,4,1,1,1,1,4,4,,1,,,,,,,,,,,,
Skywardens,12,4,7,2,8,"order,duardin,kharadron overlords,skyfarers,skywardens",0,0,9,2,3,3,1,1,2,2,4,3,1,2,,,,,,,,,,,,
avatar,9,4,10,9,3,"order,daughters of khaine,totem,avatar of khaine",0,0,10,6,3,3,2,1,2,4,3,3,2,3,,,,,,,,,,,,
blood sisters,8,5,8,2,2,"order,daughters of khaine,melusai,blood sisters",0,0,2,3,3,3,1,1,,,,,,,,,,,,,,,,,,
blood stalkers,8,5,8,2,2,"order,daughters of khaine,melusai,blood stalkers",0,0,24,1,3,3,1,1,1,2,3,4,,1,,,,,,,,,,,,
bloodwrack medusa,8,5,8,6,4,"order,melusai,daughters of khaine,hero,wizard,bloodwrack medusa",1,1,1,4,3,3,,1,2,2,3,3,1,2,,,,,,,,,,,,
bloodwrack shrine,6,5,8,13,6,"order,aelf,daughters of khaine,melusai,hero,wizard,bloodwrack medusa,bloodwrack shrine",1,0,1,4,4,3,,1,2,2,3,3,1,2,1,6,3,3,,1,,,,,,
doomfire warlocks,14,5,6,2,5,"order,aelf,daughters of khaine,wizard,doomfire warlocks",1,0,10,2,4,4,,1,1,2,4,4,1,1,1,2,4,5,,1,,,,,,
